StemSign,StemRole,Post240Class,StemScore,TotalCount,OP240Count,BareCount,TextCount,TopForms,TopFrame,TopFrameShare,Frames,Sites,Symbols,SemanticFrames,ValidationScore,ValidationStatuses,Examples
155,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.055,2,0,2,1,155-630:1; 155-630-740:1,002|740,0.500,002|740:1; 002|<END>:1,Mohenjo-daro:2,Buff:2,PrimeEntitySealFormula:2,0.000,,M-267
168,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.055,2,0,2,1,168:1; 168-740-503-390:1,002|740,0.500,002|740:1; 002|<END>:1,Mohenjo-daro:2,Bull1:J:2,PrimeEntitySealFormula:2,0.000,,M-101
171,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.055,2,0,2,1,171-035:1; 171-035-740-090:1,002|740,0.500,002|740:1; 002|<END>:1,Mohenjo-daro:2,Bull1:2,PrimeEntitySealFormula:2,0.000,,M-835
215,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.055,2,0,2,1,215:1; 215-740:1,002|740,0.500,002|740:1; 002|<END>:1,Mohenjo-daro:2,Bull1:S:2,PrimeEntitySealFormula:2,0.000,,M-99
219,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.055,2,0,2,2,219-520:1; 219-070-520:1,002|<END>,1.000,002|<END>:2,Harappa:1; Mohenjo-daro:1,Zebu:1; Bull1:W:1,ClassifierSlotTerminalFormula:2,0.000,,H-85; M-1661
241,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.055,2,0,2,2,241:1; 241-220:1,002|<END>,1.000,002|<END>:2,Mohenjo-daro:2,Bull1:S:1; Anth:1,LowEvidenceSequence:2,0.000,,M-225; M-305
268,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.055,2,0,2,1,268-760:1; 268-760-740:1,002|740,0.500,002|740:1; 002|<END>:1,Mohenjo-daro:2,Bull1:J:2,PrimeEntitySealFormula:2,0.000,,M-1791
362,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.055,2,0,2,1,362:1; 362-740-090:1,002|740,0.500,002|740:1; 002|<END>:1,Kalibangan:2,Bull1:2,PrimeEntityAdministrativeFormula:2,0.000,,K-89
368,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.055,2,0,2,1,368:1; 368-740-871:1,002|740,0.500,002|740:1; 002|<END>:1,Mohenjo-daro:2,Mult:2,PrimeEntityAdministrativeFormula:2,0.000,,M-1400
455,LOW_EVIDENCE_STEM_CANDIDATE,ROOT_OR_UNRESOLVED,0.055,2,0,2,1,455:1; 455-740:1,002|740,0.500,002|740:1; 002|<END>:1,Mohenjo-daro:2,Bull1:I:2,PrimeEntitySealFormula:2,0.000,,M-1789
