Frame,Left,Right,Filler,FillerLength,Count,TextCount,SiteCount,RegionCount,TypeCount,FirstSign,FinalSign,StemMinusFinal,RestAfterInitial,DominantSite,DominantSiteShare,DominantRegion,DominantRegionShare,DominantType,DominantTypeShare,DominantSymbol,DominantSymbolShare,SealPct,CompletePct,Examples
002|<END>,002,<END>,072-406,2,1,1,1,1,1,072,406,072,406,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL,1.0,,0.0,1.0,1.0,2528.1/M-1961/Mohenjo-daro
002|<END>,002,<END>,093-760-740,3,1,1,1,1,1,093,740,093-760,760-740,Kalibangan,1.0,Inter-Riverine,1.0,SEAL:S,1.0,Bull1,1.0,1.0,1.0,1898.1/K-24/Kalibangan
002|<END>,002,<END>,097-161,2,1,1,1,1,1,097,161,097,161,Harappa,1.0,Inter-Riverine,1.0,SEAL:R,1.0,,0.0,1.0,1.0,1204.1/H-164/Harappa
002|<END>,002,<END>,100-740,2,1,1,1,1,1,100,740,100,740,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:R,1.0,,0.0,1.0,0.0,4006.1/M-1959/Mohenjo-daro
002|<END>,002,<END>,100-740-090-400-033,5,1,1,1,1,1,100,033,100-740-090-400,740-090-400-033,Nausharo,1.0,Lower Indus,1.0,POT:T:g,1.0,,0.0,0.0,0.0,5367.1/Ns-66/Nausharo
002|<END>,002,<END>,101-740-090,3,1,1,1,1,1,101,090,101-740,740-090,Harappa,1.0,Inter-Riverine,1.0,SEAL:S,1.0,Bull1:W,1.0,1.0,1.0,1104.1/H-45/Harappa
002|<END>,002,<END>,101-740-140-840-031,5,1,1,1,1,1,101,031,101-740-140-840,740-140-840-031,Chanhu-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,Bull1,1.0,1.0,1.0,89.1/C-1/Chanhu-daro
002|<END>,002,<END>,103-240-740-565,4,1,1,1,1,1,103,565,103-240-740,240-740-565,Mohenjo-daro,1.0,Lower Indus,1.0,SEAL:S,1.0,Zebu,1.0,1.0,0.0,3478.1/M-1107/Mohenjo-daro
002|<END>,002,<END>,103-740-090,3,1,1,1,1,1,103,090,103-740,740-090,Harappa,1.0,Inter-Riverine,1.0,SEAL:S,1.0,Bull1:W,1.0,1.0,1.0,284.1/H-1030/Harappa
002|<END>,002,<END>,104,1,1,1,1,1,1,104,104,,,Harappa,1.0,Inter-Riverine,1.0,TAB:B,1.0,,0.0,0.0,1.0,1269.1/H-244/Harappa
