AnchorTemplate,Count,SiteCount,TypeCount,Examples
SIGN LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN,1,1,1,2393.1/M-1745/Mohenjo-daro
SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,1,1,1,2398.1/M-1883/Mohenjo-daro
LEADING_FORMULA_MARKER SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN,1,1,1,2400.1/M-1713/Mohenjo-daro
SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX NAME_LIKE_BLOCK[2],1,1,1,2402.1/M-1901/Mohenjo-daro
SIGN SIGN SIGN SIGN SIGN SIGN SIGN SIGN CROSS_SITE_NAME_ANCHOR[2],1,1,1,2403.1/M-1690/Mohenjo-daro
LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,1,1,1,2411.1/M-1725/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2413.1/M-1796/Mohenjo-daro
SIGN TERMINAL_TITLE_OR_SUFFIX SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2414.1/M-1910/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2422.1/M-1954/Mohenjo-daro
SIGN SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,1,1,1,2451.1/M-1801/Mohenjo-daro
SIGN LEADING_FORMULA_MARKER INITIAL_TITLE_OR_CLASSIFIER SIGN,1,1,1,2461.1/M-1853/Mohenjo-daro
SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN,1,1,1,2463.1/M-1834/Mohenjo-daro
SIGN SIGN SIGN SIGN SIGN SIGN CROSS_SITE_NAME_ANCHOR[3],1,1,1,2473.1/M-1665/Mohenjo-daro
CROSS_SITE_NAME_ANCHOR[2] LEADING_FORMULA_MARKER SIGN CROSS_SITE_NAME_ANCHOR[3],1,1,1,2478.1/M-1906/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2490.1/M-1667/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN CLOSING_FORMULA_MARKER SIGN,1,1,1,2515.1/M-1851/Mohenjo-daro
SIGN SIGN LEADING_FORMULA_MARKER SIGN NAME_LIKE_BLOCK[2],1,1,1,2534.1/M-5/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER SIGN SIGN,1,1,1,2536.1/M-7/Mohenjo-daro
SIGN SIGN SIGN LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN SIGN SIGN,1,1,1,2539.1/M-10/Mohenjo-daro
SIGN SIGN SIGN SIGN SIGN SIGN SIGN CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,1,1,1,2540.1/M-12/Mohenjo-daro
SIGN SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER NAME_LIKE_BLOCK[3],1,1,1,2548.1/M-20/Mohenjo-daro
LEADING_FORMULA_MARKER SIGN SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,1,1,1,2552.1/M-24/Mohenjo-daro
SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2557.1/M-29/Mohenjo-daro
SIGN SIGN SIGN SIGN SIGN CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,1,1,1,2563.1/M-35/Mohenjo-daro
SIGN SIGN SIGN CLOSING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2566.1/M-38/Mohenjo-daro
SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN,1,1,1,2567.1/M-39/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2569.1/M-41/Mohenjo-daro
SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2572.1/M-44/Mohenjo-daro
LEADING_FORMULA_MARKER SIGN SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER CLOSING_FORMULA_MARKER,1,1,1,2576.1/M-48/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN SIGN CROSS_SITE_NAME_ANCHOR[3],1,1,1,2578.1/M-50/Mohenjo-daro
LEADING_FORMULA_MARKER CLOSING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2579.1/M-51/Mohenjo-daro
LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,1,1,1,2581.1/M-53/Mohenjo-daro
NAME_LIKE_BLOCK[3] LEADING_FORMULA_MARKER SIGN,1,1,1,2587.1/M-59/Mohenjo-daro
SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,1,1,1,2594.1/M-66/Mohenjo-daro
NAME_LIKE_BLOCK[3] SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN,1,1,1,2596.1/M-68/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2600.1/M-72/Mohenjo-daro
CLOSING_FORMULA_MARKER SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2609.1/M-82/Mohenjo-daro
SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2618.1/M-91/Mohenjo-daro
LEADING_FORMULA_MARKER SIGN SIGN CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,1,1,1,2621.1/M-94/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN CLOSING_FORMULA_MARKER,1,1,1,2628.1/M-101/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN,1,1,1,2635.1/M-108/Mohenjo-daro
SIGN SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN CLOSING_FORMULA_MARKER,1,1,1,2642.1/M-115/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN CROSS_SITE_NAME_ANCHOR[3],1,1,1,2644.1/M-117/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN SIGN NAME_LIKE_BLOCK[2],1,1,1,2645.1/M-118/Mohenjo-daro
SIGN SIGN SIGN SIGN SIGN CLOSING_FORMULA_MARKER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2646.1/M-119/Mohenjo-daro
SIGN CLOSING_FORMULA_MARKER SIGN SIGN CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,1,1,1,2658.1/M-131/Mohenjo-daro
SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,1,1,1,2663.1/M-136/Mohenjo-daro
LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER,1,1,1,2668.1/M-141/Mohenjo-daro
TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN SIGN SIGN,1,1,1,2674.1/M-147/Mohenjo-daro
SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2686.1/M-160/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN LEADING_FORMULA_MARKER SIGN SIGN CLOSING_FORMULA_MARKER,1,1,1,2691.1/M-166/Mohenjo-daro
LEADING_FORMULA_MARKER SIGN SIGN SIGN LEADING_FORMULA_MARKER,1,1,1,2693.1/M-168/Mohenjo-daro
CROSS_SITE_NAME_ANCHOR[2] LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2727.1/M-202/Mohenjo-daro
SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,1,1,1,2735.1/M-211/Mohenjo-daro
NAME_LIKE_BLOCK[3] SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2768.1/M-245/Mohenjo-daro
CROSS_SITE_NAME_ANCHOR[3] SIGN CLOSING_FORMULA_MARKER,1,1,1,2770.1/M-247/Mohenjo-daro
SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX SIGN,1,1,1,2786.1/M-263/Mohenjo-daro
SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,1,1,1,2789.1/M-266/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER CROSS_SITE_NAME_ANCHOR[3] SIGN,1,1,1,2799.1/M-278/Mohenjo-daro
SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN INITIAL_TITLE_OR_CLASSIFIER,1,1,1,2808.1/M-288/Mohenjo-daro
LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER CLOSING_FORMULA_MARKER,1,1,1,2812.1/M-292/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN,1,1,1,2815.1/M-295/Mohenjo-daro
CROSS_SITE_NAME_ANCHOR[2] SIGN SIGN CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,1,1,1,2819.1/M-300/Mohenjo-daro
CROSS_SITE_NAME_ANCHOR[2] CROSS_SITE_NAME_ANCHOR[3],1,1,1,2822.1/M-303/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN SIGN CLOSING_FORMULA_MARKER INITIAL_TITLE_OR_CLASSIFIER SIGN,1,1,1,2832.1/M-314/Mohenjo-daro
SIGN LEADING_FORMULA_MARKER INITIAL_TITLE_OR_CLASSIFIER,1,1,1,2844.2/M-326/Mohenjo-daro
LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX SIGN NAME_LIKE_BLOCK[3] SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2851.1/M-355/Mohenjo-daro
LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2852.1/M-356/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN LEADING_FORMULA_MARKER SIGN SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2853.1/M-357/Mohenjo-daro
LEADING_FORMULA_MARKER SIGN SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX SIGN LEADING_FORMULA_MARKER,1,1,1,2854.1/M-358/Mohenjo-daro
SIGN SIGN SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2855.1/M-359/Mohenjo-daro
LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,1,1,1,2856.1/M-360/Mohenjo-daro
NAME_LIKE_BLOCK[3] LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2865.1/M-369/Mohenjo-daro
LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN,1,1,1,2866.1/M-370/Mohenjo-daro
NAME_LIKE_BLOCK[2] LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2870.1/M-374/Mohenjo-daro
SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2872.1/M-376/Mohenjo-daro
SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN SIGN,1,1,1,2874.1/M-378/Mohenjo-daro
SIGN LEADING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX SIGN LEADING_FORMULA_MARKER SIGN,1,1,1,2876.1/M-380/Mohenjo-daro
NAME_LIKE_BLOCK[3] SIGN SIGN SIGN,1,1,1,2883.1/M-387/Mohenjo-daro
LEADING_FORMULA_MARKER SIGN INITIAL_TITLE_OR_CLASSIFIER TERMINAL_TITLE_OR_SUFFIX,1,1,1,2885.1/M-389/Mohenjo-daro
CROSS_SITE_NAME_ANCHOR[2] SIGN SIGN SIGN,1,1,1,2886.1/M-390/Mohenjo-daro
SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN,1,1,1,2887.1/M-391/Mohenjo-daro
SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN NAME_LIKE_BLOCK[3],1,1,1,2889.1/M-393/Mohenjo-daro
SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN SIGN SIGN SIGN,1,1,1,2892.1/M-396/Mohenjo-daro
LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2901.1/M-405/Mohenjo-daro
SIGN SIGN SIGN SIGN SIGN SIGN CLOSING_FORMULA_MARKER,1,1,1,2907.1/M-411/Mohenjo-daro
SIGN SIGN LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER,1,1,1,2908.1/M-412/Mohenjo-daro
LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN SIGN,1,1,1,2971.1/M-488/Mohenjo-daro
SIGN SIGN TERMINAL_TITLE_OR_SUFFIX INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN SIGN SIGN,1,1,1,2975.3/M-494/Mohenjo-daro
SIGN SIGN TERMINAL_TITLE_OR_SUFFIX INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,2976.3/M-495/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,3043.1/M-573/Mohenjo-daro
SIGN SIGN SIGN SIGN SIGN SIGN SIGN SIGN SIGN SIGN SIGN,1,1,1,3047.1/M-577/Mohenjo-daro
NAME_LIKE_BLOCK[2] NAME_LIKE_BLOCK[4],1,1,1,3064.1/M-603/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,3074.1/M-623/Mohenjo-daro
SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN,1,1,1,3077.1/M-626/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN NAME_LIKE_BLOCK[2],1,1,1,3080.1/M-629/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER LEADING_FORMULA_MARKER INITIAL_TITLE_OR_CLASSIFIER SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN NAME_LIKE_BLOCK[2],1,1,1,3084.1/M-634/Mohenjo-daro
SIGN TERMINAL_TITLE_OR_SUFFIX SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,3087.1/M-638/Mohenjo-daro
SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX CROSS_SITE_NAME_ANCHOR[3],1,1,1,3089.1/M-644/Mohenjo-daro
CROSS_SITE_NAME_ANCHOR[3] SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,3091.1/M-647/Mohenjo-daro
SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN,1,1,1,3102.1/M-663/Mohenjo-daro
SIGN SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,1,1,1,3104.1/M-665/Mohenjo-daro
CROSS_SITE_NAME_ANCHOR[3] SIGN LEADING_FORMULA_MARKER SIGN,1,1,1,3109.1/M-670/Mohenjo-daro
LEADING_FORMULA_MARKER SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,3110.1/M-671/Mohenjo-daro
SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,3114.1/M-675/Mohenjo-daro
SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,3115.1/M-677/Mohenjo-daro
SIGN LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,3116.1/M-678/Mohenjo-daro
LEADING_FORMULA_MARKER INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN NAME_LIKE_BLOCK[2],1,1,1,3133.1/M-706/Mohenjo-daro
LEADING_FORMULA_MARKER CLOSING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,3134.1/M-708/Mohenjo-daro
SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN SIGN SIGN CROSS_SITE_NAME_ANCHOR[3],1,1,1,3139.1/M-714/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN LEADING_FORMULA_MARKER NAME_LIKE_BLOCK[3],1,1,1,3147.1/M-723/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN CLOSING_FORMULA_MARKER,1,1,1,3148.1/M-724/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER,1,1,1,3150.1/M-726/Mohenjo-daro
SIGN SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,1,1,1,3157.1/M-733/Mohenjo-daro
SIGN SIGN CLOSING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,3159.1/M-735/Mohenjo-daro
SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,1,1,1,3163.1/M-739/Mohenjo-daro
SIGN SIGN CLOSING_FORMULA_MARKER SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,3169.1/M-746/Mohenjo-daro
CROSS_SITE_NAME_ANCHOR[2] NAME_LIKE_BLOCK[2],1,1,1,3173.1/M-750/Mohenjo-daro
SIGN LEADING_FORMULA_MARKER SIGN CROSS_SITE_NAME_ANCHOR[3],1,1,1,3180.1/M-757/Mohenjo-daro
SIGN SIGN LEADING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX SIGN,1,1,1,3191.1/M-777/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN TERMINAL_TITLE_OR_SUFFIX NAME_LIKE_BLOCK[2],1,1,1,3194.1/M-780/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN NAME_LIKE_BLOCK[3],1,1,1,3206.1/M-792/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,3207.1/M-793/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN LEADING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,1,1,1,3219.1/M-806/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,1,1,1,3246.1/M-834/Mohenjo-daro
SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN,1,1,1,3252.1/M-840/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX SIGN,1,1,1,3263.1/M-851/Mohenjo-daro
SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN CLOSING_FORMULA_MARKER SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER,1,1,1,3267.1/M-855/Mohenjo-daro
CROSS_SITE_NAME_ANCHOR[3] NAME_LIKE_BLOCK[2],1,1,1,3280.1/M-870/Mohenjo-daro
SIGN CLOSING_FORMULA_MARKER SIGN NAME_LIKE_BLOCK[3],1,1,1,3286.1/M-878/Mohenjo-daro
SIGN SIGN SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER TERMINAL_TITLE_OR_SUFFIX,1,1,1,3288.1/M-880/Mohenjo-daro
SIGN SIGN CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX SIGN,1,1,1,3290.1/M-882/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN SIGN,1,1,1,3299.1/M-894/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN SIGN SIGN SIGN CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,1,1,1,3305.1/M-900/Mohenjo-daro
SIGN SIGN SIGN LEADING_FORMULA_MARKER NAME_LIKE_BLOCK[3],1,1,1,3332.1/M-937/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN LEADING_FORMULA_MARKER SIGN SIGN,1,1,1,3336.1/M-941/Mohenjo-daro
LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER,1,1,1,3350.1/M-955/Mohenjo-daro
SIGN CROSS_SITE_NAME_ANCHOR[3] TERMINAL_TITLE_OR_SUFFIX,1,1,1,3351.1/M-956/Mohenjo-daro
TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,1,1,1,3359.1/M-965/Mohenjo-daro
SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,3373.1/M-980/Mohenjo-daro
LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER SIGN SIGN SIGN,1,1,1,3389.1/M-997/Mohenjo-daro
SIGN CLOSING_FORMULA_MARKER INITIAL_TITLE_OR_CLASSIFIER,1,1,1,3390.1/M-998/Mohenjo-daro
LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER SIGN SIGN,1,1,1,3401.1/M-1016/Mohenjo-daro
SIGN SIGN SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN NAME_LIKE_BLOCK[2],1,1,1,3427.1/M-1052/Mohenjo-daro
SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,1,1,1,3455.1/M-1081/Mohenjo-daro
SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER,1,1,1,3467.1/M-1095/Mohenjo-daro
SIGN SIGN SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER SIGN,1,1,1,3474.1/M-1103/Mohenjo-daro
CROSS_SITE_NAME_ANCHOR[3] SIGN LEADING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,1,1,1,3485.1/M-1114/Mohenjo-daro
SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN,1,1,1,3487.1/M-1116/Mohenjo-daro
INITIAL_TITLE_OR_CLASSIFIER SIGN LEADING_FORMULA_MARKER INITIAL_TITLE_OR_CLASSIFIER,1,1,1,3495.1/M-1126/Mohenjo-daro
SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN,1,1,1,3496.1/M-1127/Mohenjo-daro
LEADING_FORMULA_MARKER NAME_LIKE_BLOCK[2],1,1,1,3508.1/M-1146/Mohenjo-daro
SIGN SIGN LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX SIGN,1,1,1,3525.1/M-1165/Mohenjo-daro
SIGN SIGN SIGN SIGN SIGN SIGN SIGN SIGN CROSS_SITE_NAME_ANCHOR[3],1,1,1,3529.1/M-1169/Mohenjo-daro
SIGN LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER SIGN SIGN,1,1,1,3531.1/M-1173/Mohenjo-daro
SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN,1,1,1,3538.1/M-1186/Mohenjo-daro
CROSS_SITE_NAME_ANCHOR[3] LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,1,1,1,3541.1/M-1190/Mohenjo-daro
SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,1,1,1,3552.1/M-1202/Mohenjo-daro
SIGN CROSS_SITE_NAME_ANCHOR[2] SIGN,1,1,1,3559.2/M-1224/Mohenjo-daro
