AnchorTemplate,Count,SiteCount,TypeCount,Examples
SIGN LEADING_FORMULA_MARKER SIGN SIGN,12,5,8,662.1/H-1951/Harappa; 1661.1/H-769/Harappa; 1920.1/K-59/Kalibangan; 2158.1/M-2062/Mohenjo-daro; 3106.1/M-667/Mohenjo-daro; 3412.1/M-1030/Mohenjo-daro
SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN,12,5,5,1227.1/H-196/Harappa; 1560.1/H-645/Harappa; 1950.1/K-96/Kalibangan; 2007.1/L-31/Lothal; 2369.1/M-2122/Mohenjo-daro; 2423.1/M-1732/Mohenjo-daro
SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN,12,2,2,1902.1/K-28/Kalibangan; 2284.2/M-2053/Mohenjo-daro; 2521.1/M-1785/Mohenjo-daro; 3019.1/M-547/Mohenjo-daro; 3020.1/M-548/Mohenjo-daro; 3021.1/M-549/Mohenjo-daro
SIGN CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,11,5,3,6.1/Ad-1/Allahdino; 90.1/C-2/Chanhu-daro; 269.1/H-1109/Harappa; 868.1/H-1802/Harappa; 1503.1/H-533/Harappa; 2244.1/M-1807/Mohenjo-daro
NAME_LIKE_BLOCK[3] SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,11,1,1,291.1/-/Harappa; 1300.1/H-278/Harappa; 1301.1/H-279/Harappa; 1302.1/H-280/Harappa; 1303.1/H-281/Harappa; 1304.1/H-282/Harappa
SIGN SIGN SIGN CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,11,3,3,378.1/H-1776/Harappa; 1111.1/H-52/Harappa; 1444.1/H-454/Harappa; 1487.1/H-510/Harappa; 2118.2/L-198/Lothal; 2416.1/-/Mohenjo-daro
SIGN LEADING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,11,4,3,1155.1/H-100/Harappa; 2149.1/L-271/Lothal; 2407.1/M-1888/Mohenjo-daro; 2659.1/M-132/Mohenjo-daro; 2894.1/M-398/Mohenjo-daro; 3313.1/M-916/Mohenjo-daro
NAME_LIKE_BLOCK[3] SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,11,1,3,2068.1/L-124/Lothal; 2069.1/L-125/Lothal; 2070.1/L-126/Lothal; 2071.1/L-128/Lothal; 2072.1/L-129/Lothal; 2112.1/L-190/Lothal
SIGN SIGN LEADING_FORMULA_MARKER SIGN,10,4,4,40.1/B-21/Banawali; 492.2/H-2244/Harappa; 810.1/H-1682/Harappa; 1410.1/H-405/Harappa; 2629.1/M-102/Mohenjo-daro; 2844.3/M-326/Mohenjo-daro
SIGN SIGN SIGN SIGN SIGN SIGN SIGN,10,3,5,42.1/B-24/Banawali; 940.1/H-1720/Harappa; 2898.1/M-402/Mohenjo-daro; 2975.2/M-494/Mohenjo-daro; 2994.1/M-519/Mohenjo-daro; 2995.1/M-520/Mohenjo-daro
LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,10,2,3,2085.1/L-143/Lothal; 2227.1/M-1975/Mohenjo-daro; 2611.1/M-84/Mohenjo-daro; 2859.1/M-363/Mohenjo-daro; 2873.1/M-377/Mohenjo-daro; 2888.1/M-392/Mohenjo-daro
