Unit,TextId,CISI,Site,Type,Symbol,SemanticFrame,ClauseType,Frame,SkeletonReading,TokenSkeleton,StructuralParse,ConstraintTier
240-740-090,666.1,H-2054,Harappa,TAB,S590,TerminalFormula,object or closing formula,235|<END>,ADMINISTRATIVE_OBJECT_FORMULA,235 [ADMINISTRATIVE_OBJECT_FORMULA:240-740-090],PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-740-090],A
240-740-090,574.1,H-2055,Harappa,TAB,S590,TerminalFormula,object or closing formula,235|<END>,ADMINISTRATIVE_OBJECT_FORMULA,235 [ADMINISTRATIVE_OBJECT_FORMULA:240-740-090],PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-740-090],A
240-740-090,1430.1,H-440,Harappa,SEAL,Bull,TerminalFormula,object or closing formula,031|<END>,ADMINISTRATIVE_OBJECT_FORMULA,031 [ADMINISTRATIVE_OBJECT_FORMULA:240-740-090],PRODUCTIVE_SLOT(<START>_240)[031] | PRODUCTIVE_SLOT(031_<END>)[240-740-090],A
240-740-090,1891.1,K-16,Kalibangan,SEAL,Bull,ClassifierSlotTerminalFormula,classifier-title-terminal formula,060|<END>,ADMINISTRATIVE_OBJECT_FORMULA,820 060 [ADMINISTRATIVE_OBJECT_FORMULA:240-740-090],PRODUCTIVE_SLOT(<START>_240)[820-060] | PRODUCTIVE_SLOT(060_<END>)[240-740-090],A
240-740-090,3703.1,M-1415,Mohenjo-daro,TAB,Cros,TerminalFormula,object or closing formula,235|<END>,ADMINISTRATIVE_OBJECT_FORMULA,104 645 590 235 [ADMINISTRATIVE_OBJECT_FORMULA:240-740-090],PRODUCTIVE_SLOT(<START>_240)[104-645-590-235] | PRODUCTIVE_SLOT(235_<END>)[240-740-090],A
240-740-090,3704.1,M-1416,Mohenjo-daro,TAB,Cros,TerminalFormula,object or closing formula,235|<END>,ADMINISTRATIVE_OBJECT_FORMULA,104 645 590 235 [ADMINISTRATIVE_OBJECT_FORMULA:240-740-090],PRODUCTIVE_SLOT(<START>_240)[104-645-590-235] | PRODUCTIVE_SLOT(235_<END>)[240-740-090],A
240-740-090,2380.1,M-2026,Mohenjo-daro,TAB,Cros,TerminalFormula,object or closing formula,235|<END>,ADMINISTRATIVE_OBJECT_FORMULA,104 645 590 235 [ADMINISTRATIVE_OBJECT_FORMULA:240-740-090],PRODUCTIVE_SLOT(<START>_240)[104-645-590-235] | PRODUCTIVE_SLOT(235_<END>)[240-740-090],A
240-740-090,2949.1,M-464,Mohenjo-daro,TAB,Cros,TerminalFormula,object or closing formula,235|<END>,ADMINISTRATIVE_OBJECT_FORMULA,104 645 590 235 [ADMINISTRATIVE_OBJECT_FORMULA:240-740-090],PRODUCTIVE_SLOT(<START>_240)[104-645-590-235] | PRODUCTIVE_SLOT(235_<END>)[240-740-090],A
240-740-090,2950.1,M-465,Mohenjo-daro,TAB,Cros,TerminalFormula,object or closing formula,235|<END>,ADMINISTRATIVE_OBJECT_FORMULA,104 645 590 235 [ADMINISTRATIVE_OBJECT_FORMULA:240-740-090],PRODUCTIVE_SLOT(<START>_240)[104-645-590-235] | PRODUCTIVE_SLOT(235_<END>)[240-740-090],A
240-740-090,2951.1,M-466,Mohenjo-daro,TAB,Cros,TerminalFormula,object or closing formula,235|<END>,ADMINISTRATIVE_OBJECT_FORMULA,104 645 590 235 [ADMINISTRATIVE_OBJECT_FORMULA:240-740-090],PRODUCTIVE_SLOT(<START>_240)[104-645-590-235] | PRODUCTIVE_SLOT(235_<END>)[240-740-090],A
240-740-090,2952.1,M-467,Mohenjo-daro,TAB,Cros,TerminalFormula,object or closing formula,235|<END>,ADMINISTRATIVE_OBJECT_FORMULA,104 645 590 235 [ADMINISTRATIVE_OBJECT_FORMULA:240-740-090],PRODUCTIVE_SLOT(<START>_240)[104-645-590-235] | PRODUCTIVE_SLOT(235_<END>)[240-740-090],A
590-390,2489.1,-,Dholavira,SEAL,Bull,PrimeEntitySealFormula,seal/entity formula,002|740,QUALIFIER_TITLE_PREFIX + FINAL_QUALIFIER,817 002 [QUALIFIER_TITLE_PREFIX + FINAL_QUALIFIER:590-390] 740,817:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[590-390] | 740:TERMINAL_TITLE_OR_SUFFIX,B
590-390,537.1,H-1692,Harappa,SEAL,Unknown,PrimeEntitySealFormula,seal/entity formula,002|740,QUALIFIER_TITLE_PREFIX + FINAL_QUALIFIER,861 002 [QUALIFIER_TITLE_PREFIX + FINAL_QUALIFIER:590-390] 740,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[590-390] | 740:TERMINAL_TITLE_OR_SUFFIX,B
590-390,3263.1,M-851,Mohenjo-daro,SEAL,Bull,PrimeEntitySealFormula,seal/entity formula,002|740,QUALIFIER_TITLE_PREFIX + FINAL_QUALIFIER,817 002 [QUALIFIER_TITLE_PREFIX + FINAL_QUALIFIER:590-390] 740 621,817:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[590-390] | 740:TERMINAL_TITLE_OR_SUFFIX | 621:SIGN,B
820-060,3890.1,-,Unknown,SEAL,Bull,ClassifierSlotTerminalFormula,classifier-title-terminal formula,<START>|240,CLASSIFIER_TITLE + FINAL_QUALIFIER,[CLASSIFIER_TITLE + FINAL_QUALIFIER:820-060] 240 231 585 740,PRODUCTIVE_SLOT(<START>_240)[820-060] | PRODUCTIVE_SLOT(060_<END>)[240-231-585-740],C
820-060,1891.1,K-16,Kalibangan,SEAL,Bull,ClassifierSlotTerminalFormula,classifier-title-terminal formula,<START>|240,CLASSIFIER_TITLE + FINAL_QUALIFIER,[CLASSIFIER_TITLE + FINAL_QUALIFIER:820-060] 240 740 090,PRODUCTIVE_SLOT(<START>_240)[820-060] | PRODUCTIVE_SLOT(060_<END>)[240-740-090],C
820-060,2819.1,M-300,Mohenjo-daro,SEAL,Composite Bull,ClassifierSlotTerminalFormula,classifier-title-terminal formula,<START>|001,CLASSIFIER_TITLE + FINAL_QUALIFIER,[CLASSIFIER_TITLE + FINAL_QUALIFIER:820-060] 001 590 390 740,PRODUCTIVE_SLOT(<START>_001)[820-060] | PRODUCTIVE_SLOT(060_<END>)[001-590-390-740],C
820-060,2559.1,M-31,Mohenjo-daro,SEAL,Bull,ClassifierSlotTerminalFormula,classifier-title-terminal formula,<START>|233,CLASSIFIER_TITLE + FINAL_QUALIFIER,[CLASSIFIER_TITLE + FINAL_QUALIFIER:820-060] 233 511 269 740,PRODUCTIVE_SLOT(<START>_233)[820-060] | PRODUCTIVE_SLOT(060_<END>)[233-511-269-740],C
