Unit,AbstractUnit,Role,TestClass,PhoneticScore,Occurrences,BestContextDimension,BestContextCategory,BestContextStrength,BestContextScore,TopSymbol,TopSite,TopRegion,SemanticOptions,NextEmpiricalTest,ExampleTexts
550-060,R15-A06,InitialFiller,AffixOrFormulaAnchor,0.37,2,Symbol,Bull,Moderate,0.518,Bull:2,Harappa:2,Inter-Riverine:2,classifier; title; office marker; prefix; regional formula marker,inspect seal images for all 550-060 occurrences with Bull; test emblem-linked reading,H-421@Harappa/Bull; H-483@Harappa/Bull
630,R75,InitialFiller,AffixOrFormulaAnchor,0.563,2,Symbol,Bull,Moderate,0.518,Bull:2,Kalibangan:1; Harappa:1,Inter-Riverine:2,classifier; title; office marker; prefix; regional formula marker,inspect seal images for all 630 occurrences with Bull; test emblem-linked reading,K-13@Kalibangan/Bull; H-462@Harappa/Bull
692,R18,InitialFiller,AffixOrFormulaAnchor,0.502,2,Symbol,Bull,Moderate,0.518,Bull:2,Mohenjo-daro:2,Lower Indus:2,classifier; title; office marker; prefix; regional formula marker,inspect seal images for all 692 occurrences with Bull; test emblem-linked reading,M-1683@Mohenjo-daro/Bull; M-70@Mohenjo-daro/Bull
740-679,T01-R35,TerminalFiller,AffixOrFormulaAnchor,0.408,2,Symbol,Bull,Moderate,0.518,Bull:2,Mohenjo-daro:2,Lower Indus:2,title/suffix; terminal formula; object marker; administrative ending,inspect seal images for all 740-679 occurrences with Bull; test emblem-linked reading,M-653@Mohenjo-daro/Bull; M-1720@Mohenjo-daro/Bull
803-235,A12-M01,InitialFiller,AffixOrFormulaAnchor,0.566,2,Symbol,Bull,Moderate,0.518,Bull:2,Mohenjo-daro:2,Lower Indus:2,classifier; title; office marker; prefix; regional formula marker,inspect seal images for all 803-235 occurrences with Bull; test emblem-linked reading,M-814@Mohenjo-daro/Bull; M-985@Mohenjo-daro/Bull
803-235-520,A12-M01-T02,TerminalFiller,AffixOrFormulaAnchor,0.374,2,Symbol,Bull,Moderate,0.518,Bull:2,Mohenjo-daro:1; Chanhu-daro:1,Lower Indus:2,title/suffix; terminal formula; object marker; administrative ending,inspect seal images for all 803-235-520 occurrences with Bull; test emblem-linked reading,M-806@Mohenjo-daro/Bull; C-4@Chanhu-daro/Bull
016-220,R64-A09,InitialFiller,AffixOrFormulaAnchor,0.592,2,Material,Steatite,Moderate,0.491,Unknown:1; Bull:1,Harappa:1; Mohenjo-daro:1,Inter-Riverine:1; Lower Indus:1,classifier; title; office marker; prefix; regional formula marker,compare artifact function for 016-220 in Steatite; test administrative/object-class value,H-98@Harappa/Unknown; M-53@Mohenjo-daro/Bull
240-100-740,A02-A15-T01,TerminalFiller,AffixOrFormulaAnchor,0.438,2,Material,Steatite,Moderate,0.491,Unknown:1; Bull:1,Mohenjo-daro:1; Harappa:1,Lower Indus:1; Inter-Riverine:1,title/suffix; terminal formula; object marker; administrative ending,compare artifact function for 240-100-740 in Steatite; test administrative/object-class value,M-1982@Mohenjo-daro/Unknown; H-450@Harappa/Bull
920-060,M04-A06,InitialFiller,AffixOrFormulaAnchor,0.657,33,Region,Gujarat/Kutch,Moderate,0.416,Bull:23; Unknown:4; Zebu:2; Gaur:1,Mohenjo-daro:20; Harappa:5; Chanhu-daro:2; Lothal:2,Lower Indus:22; Inter-Riverine:6; Gujarat/Kutch:4,classifier; title; office marker; prefix; regional formula marker,compare all 920-060 occurrences inside and outside Gujarat/Kutch; test regional/administrative value,M-1114@Mohenjo-daro/Zebu; M-1902@Mohenjo-daro/Zebu; M-1672@Mohenjo-daro/Bull; M-326@Mohenjo-daro/Bull; M-647@Mohenjo-daro/Bull
003-390,M05-M02,TerminalFiller,AffixOrFormulaAnchor,0.482,1,None,Unknown,Unresolved,0.0,Gavial:1,Mohenjo-daro:1,Lower Indus:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 003-390; keep phonetic value unassigned,M-292@Mohenjo-daro/Gavial
003-423,M05-R220,TerminalFiller,AffixOrFormulaAnchor,0.507,1,None,Unknown,Unresolved,0.0,Gaur:1,Mohenjo-daro:1,Lower Indus:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 003-423; keep phonetic value unassigned,M-525@Mohenjo-daro/Gaur
004-405,R28-R01,TerminalFiller,AffixOrFormulaAnchor,0.478,1,None,Unknown,Unresolved,0.0,Unknown:1,Mohenjo-daro:1,Lower Indus:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 004-405; keep phonetic value unassigned,M-386@Mohenjo-daro/Unknown
005-900-740,R49-R06-T01,TerminalFiller,AffixOrFormulaAnchor,0.355,1,None,Unknown,Unresolved,0.0,Bull:1,Mohenjo-daro:1,Lower Indus:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 005-900-740; keep phonetic value unassigned,M-878@Mohenjo-daro/Bull
017-585-740,R17-R24-T01,TerminalFiller,AffixOrFormulaAnchor,0.352,1,None,Unknown,Unresolved,0.0,Bull:1,Kalibangan:1,Inter-Riverine:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 017-585-740; keep phonetic value unassigned,K-13@Kalibangan/Bull
031-002,M03-A01,InitialFiller,AffixOrFormulaAnchor,0.478,1,None,Unknown,Unresolved,0.0,Bull:1,Mohenjo-daro:1,Lower Indus:1,classifier; title; office marker; prefix; regional formula marker,collect more context for 031-002; keep phonetic value unassigned,M-141@Mohenjo-daro/Bull
032-226,A07-R112,TerminalFiller,AffixOrFormulaAnchor,0.352,1,None,Unknown,Unresolved,0.0,Bull:1,Mohenjo-daro:1,Lower Indus:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 032-226; keep phonetic value unassigned,M-70@Mohenjo-daro/Bull
032-904-740,A07-R19-T01,TerminalFiller,AffixOrFormulaAnchor,0.379,1,None,Unknown,Unresolved,0.0,Unknown:1,Harappa:1,Inter-Riverine:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 032-904-740; keep phonetic value unassigned,H-240@Harappa/Unknown
033,A11,TerminalFiller,AffixOrFormulaAnchor,0.409,1,None,Unknown,Unresolved,0.0,Gaur:1,Karzakan:1,Persian Gulf:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 033; keep phonetic value unassigned,-@Karzakan/Gaur
095,R84,InitialFiller,AffixOrFormulaAnchor,0.575,1,None,Unknown,Unresolved,0.0,Bull:1,Mohenjo-daro:1,Lower Indus:1,classifier; title; office marker; prefix; regional formula marker,collect more context for 095; keep phonetic value unassigned,M-71@Mohenjo-daro/Bull
100-740,A15-T01,TerminalFiller,AffixOrFormulaAnchor,0.605,1,None,Unknown,Unresolved,0.0,Comp:1,Mohenjo-daro:1,Lower Indus:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 100-740; keep phonetic value unassigned,M-550@Mohenjo-daro/Comp
151,T05,TerminalFiller,AffixOrFormulaAnchor,0.572,1,None,Unknown,Unresolved,0.0,Bull:1,Chanhu-daro:1,Lower Indus:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 151; keep phonetic value unassigned,C-9@Chanhu-daro/Bull
176-100-740,R02-A15-T01,TerminalFiller,AffixOrFormulaAnchor,0.512,1,None,Unknown,Unresolved,0.0,Gaur:1,Mohenjo-daro:1,Lower Indus:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 176-100-740; keep phonetic value unassigned,M-1881@Mohenjo-daro/Gaur
215,R182,TerminalFiller,AffixOrFormulaAnchor,0.51,1,None,Unknown,Unresolved,0.0,Buff:1,Mohenjo-daro:1,Lower Indus:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 215; keep phonetic value unassigned,M-268@Mohenjo-daro/Buff
220,A09,InitialFiller,AffixOrFormulaAnchor,0.629,1,None,Unknown,Unresolved,0.0,Plant:1,Harappa:1,Inter-Riverine:1,classifier; title; office marker; prefix; regional formula marker,collect more context for 220; keep phonetic value unassigned,H-852@Harappa/Plant
220-520,A09-T02,TerminalFiller,AffixOrFormulaAnchor,0.545,1,None,Unknown,Unresolved,0.0,Bull:1,Mohenjo-daro:1,Lower Indus:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 220-520; keep phonetic value unassigned,M-1843@Mohenjo-daro/Bull
231,R21,InitialFiller,AffixOrFormulaAnchor,0.569,1,None,Unknown,Unresolved,0.0,Gaur:1,Mohenjo-daro:1,Lower Indus:1,classifier; title; office marker; prefix; regional formula marker,collect more context for 231; keep phonetic value unassigned,M-250@Mohenjo-daro/Gaur
231-798-740,R21-A14-T01,TerminalFiller,AffixOrFormulaAnchor,0.449,1,None,Unknown,Unresolved,0.0,Bull:1,Mohenjo-daro:1,Lower Indus:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 231-798-740; keep phonetic value unassigned,M-1804@Mohenjo-daro/Bull
233-520,A04-T02,TerminalFiller,AffixOrFormulaAnchor,0.478,3,None,Unknown,Unresolved,0.0,Bull:2; Unknown:1,Mohenjo-daro:2; Harappa:1,Lower Indus:2; Inter-Riverine:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 233-520; keep phonetic value unassigned,H-688@Harappa/Unknown; M-85@Mohenjo-daro/Bull; M-183@Mohenjo-daro/Bull
240-220-520,A02-A09-T02,TerminalFiller,AffixOrFormulaAnchor,0.45,3,None,Unknown,Unresolved,0.0,Bull:2; Unknown:1,Mohenjo-daro:2; Harappa:1,Lower Indus:2; Inter-Riverine:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 240-220-520; keep phonetic value unassigned,M-962@Mohenjo-daro/Bull; H-231@Harappa/Unknown; M-888@Mohenjo-daro/Bull
240-415-100-740-090,A02-R13-A15-T01-A10,TerminalFiller,AffixOrFormulaAnchor,0.451,1,None,Unknown,Unresolved,0.0,Bull:1,Gola Dhoro (Bagasra):1,Gujarat/Kutch:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 240-415-100-740-090; keep phonetic value unassigned,-@Gola Dhoro (Bagasra)/Bull
240-904-740,A02-R19-T01,TerminalFiller,AffixOrFormulaAnchor,0.519,1,None,Unknown,Unresolved,0.0,Unknown:1,Lothal:1,Gujarat/Kutch:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 240-904-740; keep phonetic value unassigned,L-111@Lothal/Unknown
240-923-740,A02-R26-T01,TerminalFiller,AffixOrFormulaAnchor,0.518,1,None,Unknown,Unresolved,0.0,Unknown:1,Mohenjo-daro:1,Lower Indus:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 240-923-740; keep phonetic value unassigned,M-405@Mohenjo-daro/Unknown
320-920-740,R37-M04-T01,TerminalFiller,AffixOrFormulaAnchor,0.507,1,None,Unknown,Unresolved,0.0,Bull:1,Harappa:1,Inter-Riverine:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 320-920-740; keep phonetic value unassigned,H-46@Harappa/Bull
350-400-520,R11-T03-T02,TerminalFiller,AffixOrFormulaAnchor,0.317,1,None,Unknown,Unresolved,0.0,Bull:1,Mohenjo-daro:1,Lower Indus:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 350-400-520; keep phonetic value unassigned,M-732@Mohenjo-daro/Bull
354,R125,TerminalFiller,AffixOrFormulaAnchor,0.54,1,None,Unknown,Unresolved,0.0,Bull:1,Harappa:1,Inter-Riverine:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 354; keep phonetic value unassigned,H-8@Harappa/Bull
368,R04,TerminalFiller,AffixOrFormulaAnchor,0.605,1,None,Unknown,Unresolved,0.0,Gaur:1,Mohenjo-daro:1,Lower Indus:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 368; keep phonetic value unassigned,M-235@Mohenjo-daro/Gaur
400,T03,TerminalFiller,AffixOrFormulaAnchor,0.54,1,None,Unknown,Unresolved,0.0,Unknown:1,Harappa:1,Inter-Riverine:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 400; keep phonetic value unassigned,H-328@Harappa/Unknown
415-220-520,R13-A09-T02,TerminalFiller,AffixOrFormulaAnchor,0.381,1,None,Unknown,Unresolved,0.0,Bull:1,Mohenjo-daro:1,Lower Indus:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 415-220-520; keep phonetic value unassigned,M-163@Mohenjo-daro/Bull
550,R15,InitialFiller,AffixOrFormulaAnchor,0.572,1,None,Unknown,Unresolved,0.0,T-A-T:1,Mohenjo-daro:1,Lower Indus:1,classifier; title; office marker; prefix; regional formula marker,collect more context for 550; keep phonetic value unassigned,M-310@Mohenjo-daro/T-A-T
554-527,R240-T04,TerminalFiller,AffixOrFormulaAnchor,0.38,1,None,Unknown,Unresolved,0.0,Gaur:1,Mohenjo-daro:1,Lower Indus:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 554-527; keep phonetic value unassigned,M-1087@Mohenjo-daro/Gaur
575,R22,InitialFiller,AffixOrFormulaAnchor,0.478,1,None,Unknown,Unresolved,0.0,Unknown:1,Mohenjo-daro:1,Lower Indus:1,classifier; title; office marker; prefix; regional formula marker,collect more context for 575; keep phonetic value unassigned,M-1233@Mohenjo-daro/Unknown
590-405-740,A08-R01-T01,InitialFiller,AffixOrFormulaAnchor,0.545,1,None,Unknown,Unresolved,0.0,Unknown:1,Harappa:1,Inter-Riverine:1,classifier; title; office marker; prefix; regional formula marker,collect more context for 590-405-740; keep phonetic value unassigned,H-158@Harappa/Unknown
700,R138,InitialFiller,AffixOrFormulaAnchor,0.512,1,None,Unknown,Unresolved,0.0,Bull:1,Harappa:1,Inter-Riverine:1,classifier; title; office marker; prefix; regional formula marker,collect more context for 700; keep phonetic value unassigned,H-519@Harappa/Bull
706-033,R09-A11,InitialFiller,AffixOrFormulaAnchor,0.54,1,None,Unknown,Unresolved,0.0,Unknown:1,Mohenjo-daro:1,Lower Indus:1,classifier; title; office marker; prefix; regional formula marker,collect more context for 706-033; keep phonetic value unassigned,M-394@Mohenjo-daro/Unknown
740-090,T01-A10,TerminalFiller,AffixOrFormulaAnchor,0.552,1,None,Unknown,Unresolved,0.0,Bull:1,Lothal:1,Gujarat/Kutch:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 740-090; keep phonetic value unassigned,L-41@Lothal/Bull
798-740,A14-T01,TerminalFiller,AffixOrFormulaAnchor,0.572,1,None,Unknown,Unresolved,0.0,Bull:1,Dholavira:1,Gujarat/Kutch:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 798-740; keep phonetic value unassigned,-@Dholavira/Bull
803-233-520,A12-A04-T02,TerminalFiller,AffixOrFormulaAnchor,0.321,1,None,Unknown,Unresolved,0.0,Bull:1,Mohenjo-daro:1,Lower Indus:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 803-233-520; keep phonetic value unassigned,M-931@Mohenjo-daro/Bull
806-798,M06-A14,InitialFiller,AffixOrFormulaAnchor,0.383,1,None,Unknown,Unresolved,0.0,Unknown:1,Mohenjo-daro:1,Lower Indus:1,classifier; title; office marker; prefix; regional formula marker,collect more context for 806-798; keep phonetic value unassigned,M-370@Mohenjo-daro/Unknown
821,R142,InitialFiller,AffixOrFormulaAnchor,0.543,1,None,Unknown,Unresolved,0.0,Bull:1,Mohenjo-daro:1,Lower Indus:1,classifier; title; office marker; prefix; regional formula marker,collect more context for 821; keep phonetic value unassigned,M-111@Mohenjo-daro/Bull
831,R78,InitialFiller,AffixOrFormulaAnchor,0.409,1,None,Unknown,Unresolved,0.0,Other:1,Mohenjo-daro:1,Lower Indus:1,classifier; title; office marker; prefix; regional formula marker,collect more context for 831; keep phonetic value unassigned,M-1448@Mohenjo-daro/Other
832,R42,TerminalFiller,AffixOrFormulaAnchor,0.544,1,None,Unknown,Unresolved,0.0,Unknown:1,Dholavira:1,Gujarat/Kutch:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 832; keep phonetic value unassigned,-@Dholavira/Unknown
840-032-740,R10-A07-T01,TerminalFiller,AffixOrFormulaAnchor,0.567,1,None,Unknown,Unresolved,0.0,Rhinoceros:1,Harappa:1,Inter-Riverine:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 840-032-740; keep phonetic value unassigned,H-88@Harappa/Rhinoceros
