Unit,AbstractUnit,Role,TestClass,PhoneticScore,Occurrences,TextCount,TopRegion,TopSite,TopSymbol,TopType,TopMaterial,Frames,SemanticFrames,ExampleTexts
320-920-740-400,R37-M04-T01-T03,TerminalFiller,ControlOrLowPriority,0.506,2,2,Inter-Riverine:2,Harappa:2,Unknown:2,TAB:2,Faience:2,233|<END>:2,TerminalFormula:2,H-248@Harappa/Unknown; H-1922@Harappa/Unknown
904-031-740,R19-M03-T01,TerminalFiller,ControlOrLowPriority,0.503,2,2,Inter-Riverine:2,Harappa:2,Unknown:2,TAB:2,Steatite:2,001|<END>:2,TerminalFormula:2,-@Harappa/Unknown; H-1312@Harappa/Unknown
368-572,R04-R74,InitialFiller,ControlOrLowPriority,0.502,2,2,Inter-Riverine:1; Other:1,Harappa:1; Unknown:1,Bull:1; Bull:i:S:1,SEAL:2,Unknown:2,<START>|741:2,TerminalFormula:2,H-1021@Harappa/Bull; -@Unknown/Bull:i:S
752-740,R59-T01,TerminalFiller,ControlOrLowPriority,0.502,2,2,Lower Indus:2,Mohenjo-daro:2,Unknown:2,SEAL:2,Steatite:2,001|<END>:2,TerminalFormula:2,M-1975@Mohenjo-daro/Unknown; M-394@Mohenjo-daro/Unknown
803-798,A12-A14,PrimeEntityFiller,PrimeEntityContextNeeded,0.489,1,1,Inter-Riverine:1,Harappa:1,Unknown:1,TAB:1,Faience:1,002|740:1,PrimeEntityAdministrativeFormula:1,H-773@Harappa/Unknown
388-527,R33-T04,TerminalFiller,ControlOrLowPriority,0.488,1,1,Gujarat/Kutch:1,Lothal:1,Gaur:1,SEAL:1,Steatite:1,233|<END>:1,PrimeEntitySealFormula:1,L-46@Lothal/Gaur
233-705-033-520,A04-A13-A11-T02,TerminalFiller,ControlOrLowPriority,0.483,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,235|<END>:1,TerminalFormula:1,M-757@Mohenjo-daro/Bull
345,R123,InitialFiller,ControlOrLowPriority,0.482,1,1,Lower Indus:1,Mohenjo-daro:1,Bull:1,SEAL:1,Steatite:1,<START>|741:1,TerminalFormula:1,M-926@Mohenjo-daro/Bull
617,R57,InitialFiller,ControlOrLowPriority,0.482,1,1,Lower Indus:1,Mohenjo-daro:1,Gaur:1,SEAL:1,Steatite:1,<START>|741:1,TerminalFormula:1,M-1881@Mohenjo-daro/Gaur
717-740,R41-T01,TerminalFiller,ControlOrLowPriority,0.482,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Clay:1,233|<END>:1,TerminalFormula:1,H-601@Harappa/Bull
480,R72,InitialFiller,ControlOrLowPriority,0.48,1,1,Lower Indus:1,Mohenjo-daro:1,Unknown:1,POT:1,Clay:1,<START>|001:1,TerminalFormula:1,M-2061@Mohenjo-daro/Unknown
590-406-740,A08-R54-T01,TerminalFiller,ControlOrLowPriority,0.48,1,1,Inter-Riverine:1,Harappa:1,Bull:1,SEAL:1,Steatite:1,741|<END>:1,TerminalFormula:1,H-50@Harappa/Bull
435,R14,TerminalFiller,ControlOrLowPriority,0.475,2,2,Lower Indus:2,Mohenjo-daro:2,Bull:1; Unknown:1,SEAL:2,Steatite:1; Unknown:1,001|<END>:2,LowEvidenceSequence:2,M-993@Mohenjo-daro/Bull; M-1197@Mohenjo-daro/Unknown
861-002-003,C02-A01-M05,InitialFiller,ControlOrLowPriority,0.468,2,2,Lower Indus:2,Mohenjo-daro:2,Bull:2,SEAL:2,Steatite:2,<START>|390:2,InitialClassifierFormula:2,M-1697@Mohenjo-daro/Bull; M-712@Mohenjo-daro/Bull
