Probe,Side,Unit,TextId,CISI,Frame,TargetFrame,Site,Type,Symbol,Material,SemanticFrame,ReadingTokens,StructuralParse
240-482 :: 235,Neighbor,235,2873.1,M-377,<START>|240,<START>|233,Mohenjo-daro,SEAL,Unknown,-,TerminalFormula,235-240-255-435-690-740,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-255-435-690-740]
240-482 :: 235,Neighbor,235,3357.1,M-962,<START>|240,<START>|233,Mohenjo-daro,SEAL,Bull,-,TerminalFormula,235-240-220-520,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-220-520]
240-482 :: 235,Neighbor,235,3468.1,M-1096,<START>|240,<START>|233,Mohenjo-daro,SEAL,Gaur,Steatite,TerminalFormula,235-240-455-740,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-455-740]
240-482 :: 235,Neighbor,235,3576.1,M-1269,<START>|240,<START>|233,Mohenjo-daro,SEAL,Unknown,-,TerminalFormula,235-240-706-033-520,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-706-033-520]
240-482 :: 235,Neighbor,235,2969.1,M-486,<START>|520,<START>|233,Mohenjo-daro,TAB,Composite/Multiple,Clay,TerminalFormula,235-520,PRODUCTIVE_SLOT(<START>_520)[235] | PRODUCTIVE_SLOT(235_<END>)[520]
240-482 :: 235,Neighbor,235,2970.1,M-487,<START>|520,<START>|233,Mohenjo-daro,TAB,Composite/Multiple,Clay,TerminalFormula,235-520,PRODUCTIVE_SLOT(<START>_520)[235] | PRODUCTIVE_SLOT(235_<END>)[520]
240-482 :: 235,Neighbor,235,574.1,H-2055,<START>|240,<START>|233,Harappa,TAB,S590,Steatite,TerminalFormula,235-240-740-090,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-740-090]
240-482 :: 235,Neighbor,235,613.1,-,<START>|520,<START>|233,Harappa,POT,Unknown,Clay,TerminalFormula,235-520,PRODUCTIVE_SLOT(<START>_520)[235] | PRODUCTIVE_SLOT(235_<END>)[520]
240-482 :: 235,Neighbor,235,666.1,H-2054,<START>|240,<START>|233,Harappa,TAB,S590,Steatite,TerminalFormula,235-240-740-090,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-740-090]
240-482 :: 235,Neighbor,235,902.1,H-2020,<START>|240,<START>|233,Harappa,TAB,Gavial,Clay,TerminalFormula,235-240-740-090,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-740-090]
240-482 :: 235,Neighbor,235,904.1,H-2019,<START>|240,<START>|233,Harappa,TAB,Gavial,Clay,TerminalFormula,235-240-740-090,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-740-090]
240-482 :: 235,Neighbor,235,4216.1,-,<START>|520,<START>|233,Dholavira,SEAL,Unknown,-,TerminalFormula,235-520,PRODUCTIVE_SLOT(<START>_520)[235] | PRODUCTIVE_SLOT(235_<END>)[520]
240-482 :: 235,Neighbor,235,3484.1,M-1113,<START>|233,<START>|233,Mohenjo-daro,SEAL,Zebu,Steatite,LowEvidenceSequence,235-233-550,PRODUCTIVE_SLOT(<START>_233)[235] | PRODUCTIVE_SLOT(235_<END>)[233-550]
240-482 :: 235,Neighbor,235,3042.1,M-572,<START>|233,<START>|233,Mohenjo-daro,TAB,Other,Copper,TerminalFormula,235-233-222-740,PRODUCTIVE_SLOT(<START>_233)[235] | PRODUCTIVE_SLOT(235_<END>)[233-222-740]
