Unit,AbstractUnit,Role,TestClass,Dimension,Category,Count,UnitOccurrences,BaselineCount,Expected,Lift,Log2Lift,AssociationScore,Strength
501-405-002,R03-R01-A01,InitialFiller,ControlOrLowPriority,SemanticFrame,TerminalFormula,29,29,309,14.763,1.964,0.974,0.829,Moderate
176-740-090,R02-T01-A10,TerminalFiller,AffixOrFormulaAnchor,SemanticFrame,TerminalFormula,8,8,309,4.072,1.964,0.974,0.808,Moderate
347,R32,InitialFiller,ControlOrLowPriority,SemanticFrame,TerminalFormula,8,8,309,4.072,1.964,0.974,0.808,Moderate
501-405-002,R03-R01-A01,InitialFiller,ControlOrLowPriority,Symbol,Bull,29,29,358,17.104,1.696,0.762,0.805,Moderate
104-645-590-235,R30-R25-A08-M01,InitialFiller,ControlOrLowPriority,SemanticFrame,TerminalFormula,7,7,309,3.563,1.964,0.974,0.798,Moderate
240-740-090,A02-T01-A10,TerminalFiller,CrossFramePhoneticAnchor,SemanticFrame,TerminalFormula,12,13,309,6.618,1.813,0.859,0.795,Moderate
520,T02,TerminalFiller,CrossFramePhoneticAnchor,SemanticFrame,TerminalFormula,19,21,309,10.69,1.777,0.83,0.786,Moderate
235,M01,InitialFiller,CrossFramePhoneticAnchor,SemanticFrame,TerminalFormula,25,28,309,14.254,1.754,0.811,0.781,Moderate
104-645-590-235,R30-R25-A08-M01,InitialFiller,ControlOrLowPriority,Site,Mohenjo-daro,7,7,333,3.84,1.823,0.866,0.78,Moderate
048-740,R43-T01,TerminalFiller,AffixOrFormulaAnchor,SemanticFrame,TerminalFormula,5,5,309,2.545,1.964,0.974,0.778,Moderate
240-520,A02-T02,TerminalFiller,CrossFramePhoneticAnchor,Symbol,Bull,30,32,358,18.873,1.59,0.669,0.777,Moderate
806,M06,InitialFiller,AffixOrFormulaAnchor,Site,Mohenjo-daro,6,6,333,3.292,1.823,0.866,0.771,Moderate
806-235,M06-M01,InitialFiller,AffixOrFormulaAnchor,Site,Mohenjo-daro,6,6,333,3.292,1.823,0.866,0.771,Moderate
233-222-740,A04-R31-T01,TerminalFiller,ControlOrLowPriority,Site,Mohenjo-daro,5,5,333,2.743,1.823,0.866,0.762,Moderate
104-645-590-235,R30-R25-A08-M01,InitialFiller,ControlOrLowPriority,Region,Lower Indus,7,7,360,4.152,1.686,0.754,0.761,Moderate
240,A02,TerminalFiller,CrossFramePhoneticAnchor,Symbol,Bull,6,6,358,3.539,1.696,0.762,0.755,Moderate
590,A08,InitialFiller,CrossFramePhoneticAnchor,Symbol,Bull,6,6,358,3.539,1.696,0.762,0.755,Moderate
806,M06,InitialFiller,AffixOrFormulaAnchor,Region,Lower Indus,6,6,360,3.558,1.686,0.754,0.753,Moderate
806-235,M06-M01,InitialFiller,AffixOrFormulaAnchor,Region,Lower Indus,6,6,360,3.558,1.686,0.754,0.753,Moderate
820,C01,InitialFiller,AffixOrFormulaAnchor,Material,Steatite,10,10,412,6.787,1.473,0.559,0.747,Moderate
233-222-740,A04-R31-T01,TerminalFiller,ControlOrLowPriority,Region,Lower Indus,5,5,360,2.965,1.686,0.754,0.745,Moderate
255-435-690-740-900,R07-R14-R08-T01-R06,InitialFiller,ControlOrLowPriority,Material,Copper,2,2,17,0.056,35.706,5.158,0.735,Moderate
320-920-740-400,R37-M04-T01-T03,TerminalFiller,ControlOrLowPriority,Material,Faience,2,2,30,0.099,20.233,4.339,0.734,Moderate
861-002-003,C02-A01-M05,InitialFiller,ControlOrLowPriority,SemanticFrame,InitialClassifierFormula,2,2,36,0.119,16.861,4.076,0.734,Moderate
435,R14,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,2,2,57,0.188,10.649,3.413,0.732,Moderate
692,R18,InitialFiller,AffixOrFormulaAnchor,SemanticFrame,LowEvidenceSequence,2,2,57,0.188,10.649,3.413,0.732,Moderate
741-350-504,A03-R11-R45,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,2,2,57,0.188,10.649,3.413,0.732,Moderate
741-592,A03-R97,TerminalFiller,ControlOrLowPriority,SemanticFrame,LowEvidenceSequence,2,2,57,0.188,10.649,3.413,0.732,Moderate
176-740,R02-T01,TerminalFiller,CrossFramePhoneticAnchor,SemanticFrame,TerminalFormula,7,8,309,4.072,1.719,0.781,0.731,Moderate
002,A01,PreTerminalFiller,CrossFramePhoneticAnchor,SemanticFrame,ClassifierSlotTerminalFormula,2,2,86,0.283,7.058,2.819,0.73,Moderate
140-919,M07-R145,InitialFiller,ControlOrLowPriority,SemanticFrame,ClassifierSlotTerminalFormula,2,2,86,0.283,7.058,2.819,0.73,Moderate
803-235-520,A12-M01-T02,TerminalFiller,AffixOrFormulaAnchor,SemanticFrame,ClassifierSlotTerminalFormula,2,2,86,0.283,7.058,2.819,0.73,Moderate
861-368,C02-R04,InitialFiller,ControlOrLowPriority,SemanticFrame,ClassifierSlotTerminalFormula,2,2,86,0.283,7.058,2.819,0.73,Moderate
032-070-590-390,A07-R20-A08-M02,PrimeEntityFiller,PrimeEntityContextNeeded,SemanticFrame,PrimeEntitySealFormula,2,2,104,0.343,5.837,2.545,0.729,Moderate
235-590-390,M01-A08-M02,PrimeEntityFiller,PrimeEntityContextNeeded,SemanticFrame,PrimeEntitySealFormula,2,2,104,0.343,5.837,2.545,0.729,Moderate
235-760,M01-A16,PrimeEntityFiller,PrimeEntityContextNeeded,SemanticFrame,PrimeEntitySealFormula,2,2,104,0.343,5.837,2.545,0.729,Moderate
235-840-032,M01-R10-A07,PrimeEntityFiller,StrongOnomasticAnchor,SemanticFrame,PrimeEntitySealFormula,2,2,104,0.343,5.837,2.545,0.729,Moderate
240-176,A02-R02,PrimeEntityFiller,StrongOnomasticAnchor,SemanticFrame,PrimeEntitySealFormula,2,2,104,0.343,5.837,2.545,0.729,Moderate
240-773,A02-R60,PrimeEntityFiller,PrimeEntityContextNeeded,SemanticFrame,PrimeEntitySealFormula,2,2,104,0.343,5.837,2.545,0.729,Moderate
416,R34,TerminalFiller,AffixOrFormulaAnchor,SemanticFrame,PrimeEntitySealFormula,2,2,104,0.343,5.837,2.545,0.729,Moderate
590-003-900-002,A08-M05-R06-A01,InitialFiller,ControlOrLowPriority,SemanticFrame,PrimeEntitySealFormula,2,2,104,0.343,5.837,2.545,0.729,Moderate
368-572,R04-R74,InitialFiller,ControlOrLowPriority,Material,Unknown,2,2,111,0.366,5.468,2.451,0.723,Moderate
705,A13,InitialFiller,CrossFramePhoneticAnchor,Material,Unknown,2,2,111,0.366,5.468,2.451,0.723,Moderate
240,A02,TerminalFiller,CrossFramePhoneticAnchor,Material,Steatite,6,6,412,4.072,1.473,0.559,0.721,Moderate
255-435-690-740-900,R07-R14-R08-T01-R06,InitialFiller,ControlOrLowPriority,Type,TAB,2,2,116,0.382,5.233,2.388,0.716,Moderate
320-920-740-400,R37-M04-T01-T03,TerminalFiller,ControlOrLowPriority,Type,TAB,2,2,116,0.382,5.233,2.388,0.716,Moderate
741-350-504,A03-R11-R45,TerminalFiller,ControlOrLowPriority,Type,TAB,2,2,116,0.382,5.233,2.388,0.716,Moderate
904-031-740,R19-M03-T01,TerminalFiller,ControlOrLowPriority,Type,TAB,2,2,116,0.382,5.233,2.388,0.716,Moderate
176,R02,PrimeEntityFiller,StrongOnomasticAnchor,Material,Steatite,5,5,412,3.394,1.473,0.559,0.715,Moderate
171-032-031,R67-A07-M03,InitialFiller,ControlOrLowPriority,SemanticFrame,TerminalFormula,4,4,309,2.036,1.964,0.974,0.7,Moderate
384-740,R27-T01,TerminalFiller,AffixOrFormulaAnchor,SemanticFrame,TerminalFormula,4,4,309,2.036,1.964,0.974,0.7,Moderate
520-400,T02-T03,TerminalFiller,ControlOrLowPriority,SemanticFrame,TerminalFormula,4,4,309,2.036,1.964,0.974,0.7,Moderate
233,A04,InitialFiller,CrossFramePhoneticAnchor,SemanticFrame,TerminalFormula,8,10,309,5.091,1.572,0.652,0.695,Moderate
