"Sign","Total","Start","End","Medial","Singleton","StartPct","EndPct","MedialPct","SingletonPct","MeanNormPosition","EndMinusStart"
"272","4","3","0","1","0","0.75","0","0.25","0","0.125","-0.75"
"322","4","3","0","1","0","0.75","0","0.25","0","0.15","-0.75"
"326","4","3","0","1","0","0.75","0","0.25","0","0.2188","-0.75"
"353","4","2","1","1","0","0.5","0.25","0.25","0","0.4","-0.25"
"380","4","3","0","1","0","0.75","0","0.25","0","0.1875","-0.75"
"392","4","1","2","1","0","0.25","0.5","0.25","0","0.5556","0.25"
"409","4","0","4","0","0","0","1","0","0","1","1"
"420","4","0","0","4","0","0","0","1","0","0.5619","0"
"421","4","1","0","3","0","0.25","0","0.75","0","0.15","-0.25"
"443","4","0","0","4","0","0","0","1","0","0.5643","0"
"502","4","2","0","2","0","0.5","0","0.5","0","0.0714","-0.5"
"515","4","0","1","3","0","0","0.25","0.75","0","0.55","0.25"
"611","4","0","0","4","0","0","0","1","0","0.3378","0"
"625","4","2","0","2","0","0.5","0","0.5","0","0.3542","-0.5"
"637","4","1","1","2","0","0.25","0.25","0.5","0","0.5208","0"
"698","4","4","0","0","0","1","0","0","0","0","-1"
"712","4","0","4","0","0","0","1","0","0","1","1"
"736","4","4","0","0","0","1","0","0","0","0","-1"
"746","4","2","0","2","0","0.5","0","0.5","0","0.1833","-0.5"
"799","4","4","0","0","0","1","0","0","0","0","-1"
"825","4","1","0","3","0","0.25","0","0.75","0","0.2634","-0.25"
"842","4","0","4","0","0","0","1","0","0","1","1"
"869","4","0","3","1","0","0","0.75","0.25","0","0.9167","0.75"
"871","4","1","2","1","0","0.25","0.5","0.25","0","0.7292","0.25"
"903","4","2","0","2","0","0.5","0","0.5","0","0.2357","-0.5"
"910","4","4","0","0","0","1","0","0","0","0","-1"
"007","3","0","0","3","0","0","0","1","0","0.6667","0"
"025","3","3","0","0","0","1","0","0","0","0","-1"
"046","3","2","1","0","0","0.6667","0.3333","0","0","0.3333","-0.3333"
"071","3","0","1","2","0","0","0.3333","0.6667","0","0.6667","0.3333"
"081","3","0","0","3","0","0","0","1","0","0.3722","0"
"139","3","3","0","0","0","1","0","0","0","0","-1"
"146","3","3","0","0","0","1","0","0","0","0","-1"
"160","3","2","0","1","0","0.6667","0","0.3333","0","0.1667","-0.6667"
"168","3","0","0","3","0","0","0","1","0","0.2417","0"
"177","3","1","0","2","0","0.3333","0","0.6667","0","0.3889","-0.3333"
"193","3","2","0","1","0","0.6667","0","0.3333","0","0.2381","-0.6667"
"216","3","3","0","0","0","1","0","0","0","0","-1"
"229","3","3","0","0","0","1","0","0","0","0","-1"
