Frame,Left,Right,Count,DistinctFillers,TopFiller,TopFillerShare,FillerEntropy,SiteCount,RegionCount,TypeCount,SealPct,CompletePct,NameSlotScore,Examples
004|<END>,004,<END>,79,36,390,0.2658,0.8181,11,6,12,0.557,0.9114,0.8498,33.1/B-9/Banawali; 233.1/H-1047/Harappa; 309.1/-/Harappa; 311.2/H-1192/Harappa; 394.2/H-1987/Harappa
820|390,820,390,18,15,002-003,0.2222,0.9536,7,3,4,0.8889,0.8889,0.8495,634.1/H-1680/Harappa; 1079.1/H-19/Harappa; 1935.1/K-78/Kalibangan; 2220.1/M-1675/Mohenjo-daro; 2338.1/M-1955/Mohenjo-daro
<START>|241,<START>,241,12,12,861-002-032-220,0.0833,1.0,2,2,2,0.9167,0.9167,0.8495,1434.1/H-444/Harappa; 2423.1/M-1732/Mohenjo-daro; 2431.1/M-1673/Mohenjo-daro; 2727.1/M-202/Mohenjo-daro; 2749.1/M-225/Mohenjo-daro
002|100,002,100,30,20,415,0.2333,0.9067,6,3,7,0.8667,0.8,0.8488,62.1/C-65/Chanhu-daro; 1007.1/H-1726/Harappa; 1091.1/H-31/Harappa; 1463.1/H-476/Harappa; 1986.1/L-4/Lothal
013|<END>,013,<END>,41,30,840-740,0.2439,0.9031,10,5,8,0.6829,0.8537,0.8487,11.1/Ad-6/Allahdino; 123.1/Dlp-1/Desalpur; 126.1/-/Dholavira; 787.1/H-1983/Harappa; 835.1/H-2112/Harappa
016|<END>,016,<END>,44,21,390,0.2955,0.8685,8,3,7,0.75,0.8409,0.8486,91.1/C-3/Chanhu-daro; 136.1/-/Dholavira; 173.1/H-1086/Harappa; 258.1/H-1121/Harappa; 318.1/H-1028/Harappa
<START>|226,<START>,226,32,29,032,0.0938,0.9858,8,4,7,0.75,0.6875,0.8485,75.1/C-79/Chanhu-daro; 111.1/C-24/Chanhu-daro; 317.1/H-1321/Harappa; 1515.1/H-561/Harappa; 1906.1/K-33/Kalibangan
<START>|407,<START>,407,94,49,806-845-061,0.1489,0.874,7,5,8,0.3936,0.8404,0.8481,124.1/Dlp-2/Desalpur; 135.1/-/Dholavira; 139.1/-/Dholavira; 426.1/H-1714/Harappa; 789.1/H-1785/Harappa
705|740,705,740,62,36,500-741-001-055-220,0.1774,0.9,6,4,10,0.5323,0.8226,0.8481,8.1/Ad-3/Allahdino; 53.1/Ch-1/Chandigarh; 54.1/Ch-2/Chandigarh; 593.2/H-1839/Harappa; 596.2/H-2139/Harappa
<START>|717,<START>,717,36,30,747,0.1111,0.9701,8,3,7,0.7222,0.6944,0.8477,20.1/Blk-2/Bala-kot; 93.1/C-5/Chanhu-daro; 134.1/-/Dholavira; 923.2/H-1945/Harappa; 1169.1/H-103/Harappa
235|520,235,520,21,15,705-033,0.1905,0.9444,3,3,3,0.9524,0.7619,0.8475,402.2/H-2015/Harappa; 1103.1/H-44/Harappa; 1189.1/H-148/Harappa; 1316.1/-/Dholavira; 2245.1/M-1890/Mohenjo-daro
<START>|555,<START>,555,18,14,235,0.1667,0.9675,4,4,4,0.8889,0.8333,0.8474,472.1/H-2084/Harappa; 1081.1/H-21/Harappa; 1449.1/H-459/Harappa; 1988.1/L-9/Lothal; 2020.1/L-51/Lothal
575|<END>,575,<END>,70,42,335-711-033-700,0.1429,0.8979,7,3,7,0.5714,0.7143,0.846,66.1/C-69/Chanhu-daro; 241.2/H-1173/Harappa; 259.1/H-1051/Harappa; 300.2/-/Harappa; 370.2/H-2016/Harappa
<START>|016,<START>,016,27,21,861-002,0.1481,0.9581,7,3,5,0.7407,0.8148,0.8459,91.1/C-3/Chanhu-daro; 136.1/-/Dholavira; 715.1/H-1734/Harappa; 737.1/H-1964/Harappa; 1164.1/H-1014/Harappa
550|740,550,740,25,21,060-690,0.2,0.9515,6,5,7,0.64,0.96,0.8454,27.1/B-1/Banawali; 378.1/H-1776/Harappa; 760.1/H-2040/Harappa; 788.1/H-1840/Harappa; 1423.1/H-421/Harappa
<START>|005,<START>,005,23,20,817-002,0.1304,0.9787,5,3,6,0.6957,0.8696,0.8451,121.1/C-40/Chanhu-daro; 246.1/H-1045/Harappa; 315.1/H-1517/Harappa; 1209.1/H-175/Harappa; 1534.1/H-589/Harappa
255|<END>,255,<END>,115,49,435-690-740,0.2,0.8181,11,7,9,0.4783,0.7739,0.845,115.1/C-33/Chanhu-daro; 118.1/C-37/Chanhu-daro; 162.2/H-1189/Harappa; 234.2/-/Harappa; 274.1/-/Harappa
440|<END>,440,<END>,42,26,740,0.1667,0.9083,9,4,7,0.6905,0.7857,0.845,13.1/Ad-8/Allahdino; 124.1/Dlp-2/Desalpur; 220.1/H-1142/Harappa; 475.2/H-1948/Harappa; 741.1/H-1690/Harappa
060|220,060,220,18,13,415,0.2222,0.9354,8,5,3,0.9444,0.8333,0.8449,83.1/C-62/Chanhu-daro; 101.1/C-13/Chanhu-daro; 199.1/H-423/Harappa; 479.1/H-1669/Harappa; 1080.1/H-20/Harappa
<START>|503,<START>,503,23,18,817-002,0.2174,0.9429,3,2,4,0.913,0.7391,0.8448,13.1/Ad-8/Allahdino; 261.1/H-1052/Harappa; 1074.1/H-13/Harappa; 1498.1/H-523/Harappa; 1556.1/H-641/Harappa
<START>|142,<START>,142,50,37,905-032-597,0.14,0.9465,5,3,7,0.5,0.8,0.8447,12.1/Ad-7/Allahdino; 278.1/M-592/Mohenjo-daro; 491.1/H-2127/Harappa; 589.1/H-2128/Harappa; 599.2/H-1864/Harappa
297|<END>,297,<END>,14,14,002-003-226,0.0714,1.0,4,3,2,0.9286,0.7857,0.8441,19.1/Blk-1/Bala-kot; 256.1/H-1038/Harappa; 415.2/H-1832/Harappa; 2378.1/M-1701/Mohenjo-daro; 2508.1/M-1919/Mohenjo-daro
820|415,820,415,13,12,032-017-904,0.1538,0.9893,3,2,2,0.8462,0.9231,0.8438,1996.1/L-18/Lothal; 2464.1/M-595/Mohenjo-daro; 2689.1/M-163/Mohenjo-daro; 2975.3/M-494/Mohenjo-daro; 2976.3/M-495/Mohenjo-daro
002|590,002,590,19,14,235,0.1579,0.9566,5,4,4,0.8421,0.8421,0.8432,1069.1/H-8/Harappa; 1175.1/H-134/Harappa; 1402.1/H-389/Harappa; 1540.1/H-597/Harappa; 1540.2/H-597/Harappa
<START>|013,<START>,013,28,19,817,0.1786,0.9332,9,4,8,0.75,0.8214,0.8429,111.1/C-24/Chanhu-daro; 123.1/Dlp-1/Desalpur; 126.1/-/Dholavira; 787.1/H-1983/Harappa; 835.1/H-2112/Harappa
