StructuralTemplate,Count
LEADING_FORMULA_MARKER SIGN INITIAL_TITLE_OR_CLASSIFIER PRODUCTIVE_SLOT,2
PRODUCTIVE_SLOT TERMINAL_TITLE_OR_SUFFIX SLOT_FINAL_MODIFIER,2
SIGN SLOT_INITIAL_MODIFIER SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX SIGN CLOSING_FORMULA_MARKER,2
SIGN SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX SLOT_INITIAL_MODIFIER SIGN,2
SLOT_INITIAL_MODIFIER SIGN SLOT_INITIAL_MODIFIER SLOT_FINAL_MODIFIER SIGN SLOT_FINAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX,2
INITIAL_TITLE_OR_CLASSIFIER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT NAME_LIKE_BLOCK,2
PRODUCTIVE_SLOT SLOT_INITIAL_MODIFIER NAME_LIKE_BLOCK,2
INITIAL_TITLE_OR_CLASSIFIER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT PRODUCTIVE_SLOT,2
SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,2
SLOT_INITIAL_MODIFIER SLOT_INITIAL_MODIFIER SIGN,2
SIGN SIGN SIGN SLOT_INITIAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX,2
PRODUCTIVE_SLOT CLOSING_FORMULA_MARKER INITIAL_TITLE_OR_CLASSIFIER,2
SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX SIGN,2
SLOT_INITIAL_MODIFIER INITIAL_TITLE_OR_CLASSIFIER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX,2
TERMINAL_TITLE_OR_SUFFIX SIGN SIGN,2
SIGN SLOT_FINAL_MODIFIER SIGN SIGN SIGN,2
SIGN SIGN SIGN SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX SLOT_FINAL_MODIFIER,1
SIGN SIGN SIGN SIGN SIGN SLOT_FINAL_MODIFIER SIGN,1
SLOT_INITIAL_MODIFIER SIGN TERMINAL_TITLE_OR_SUFFIX SLOT_FINAL_MODIFIER,1
SLOT_INITIAL_MODIFIER SLOT_INITIAL_MODIFIER SLOT_FINAL_MODIFIER SIGN SLOT_FINAL_MODIFIER,1
PRODUCTIVE_SLOT SLOT_INITIAL_MODIFIER TERMINAL_TITLE_OR_SUFFIX SIGN SLOT_INITIAL_MODIFIER SIGN LEADING_FORMULA_MARKER PRODUCTIVE_SLOT,1
SIGN SIGN TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER PRODUCTIVE_SLOT,1
SIGN SIGN SIGN SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER,1
SIGN LEADING_FORMULA_MARKER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX SLOT_FINAL_MODIFIER SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER,1
SIGN LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER PRODUCTIVE_SLOT,1
SIGN SIGN SIGN SLOT_INITIAL_MODIFIER SIGN SLOT_INITIAL_MODIFIER SIGN SIGN CLOSING_FORMULA_MARKER,1
SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER PRODUCTIVE_SLOT,1
PRODUCTIVE_SLOT CLOSING_FORMULA_MARKER LEADING_FORMULA_MARKER PRODUCTIVE_SLOT,1
SIGN SLOT_FINAL_MODIFIER SIGN SIGN SIGN SIGN SIGN CLOSING_FORMULA_MARKER,1
TERMINAL_TITLE_OR_SUFFIX SIGN SLOT_FINAL_MODIFIER PRODUCTIVE_SLOT,1
