TextId,CISI,Site,Type,ReadingTokens,AbstractSigns,SemanticFrame,ControlledSentenceGloss,StructuralParse,SlotFillers,ReconstructionConfidence,PhoneticReadiness,PhoneticTest
112.1,C-29,Chanhu-daro,SEAL:S,032-634-840-032-384-740-031-032,A07-R251-R10-A07-R27-T01-M03-A07,TerminalFormula,"short terminal label, title, suffix, or object marker",032:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(032_740)[634-840-032-384] | 740:TERMINAL_TITLE_OR_SUFFIX | 031:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(031_<END>)[032],032|740:634-840-032-384@2-5; 031|<END>:032@8-8,0.55,Medium,"compare all artifacts in frames 031|<END>, 032|740; test reused filler(s) 032 across frames; inspect minimal alternation(s) involving 032"
261.1,H-1052,Harappa,SEAL:S,240-233-503,A02-A04-R39,LowEvidenceSequence,unresolved sequence with insufficient structural evidence,PRODUCTIVE_SLOT(<START>_233)[240] | 233:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(233_<END>)[503],<START>|233:240@1-1; 233|<END>:503@3-3,0.55,Medium,"compare all artifacts in frames 233|<END>, <START>|233; test reused filler(s) 240 across frames; inspect minimal alternation(s) involving 240"
1258.1,H-231,Harappa,TAB:B,820-002-240-220-520,C01-A01-A02-A09-T02,ClassifierSlotTerminalFormula,classifier formula: initial class/title plus slot filler plus terminal marker,PRODUCTIVE_SLOT(<START>_240)[820-002] | PRODUCTIVE_SLOT(002_<END>)[240-220-520],<START>|240:820-002@1-2; 002|<END>:240-220-520@3-5,0.55,Medium,"compare all artifacts in frames 002|<END>, <START>|240; inspect minimal alternation(s) involving 820-002"
1350.2,H-328,Harappa,TAB:I,235-717-741-400,M01-R41-A03-T03,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_741)[235-717] | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[400],<START>|741:235-717@1-2; 741|<END>:400@4-4,0.55,Medium,"compare all artifacts in frames 741|<END>, <START>|741; inspect minimal alternation(s) involving 400"
3776.1,M-1523,Mohenjo-daro,TAB:C,806-235-233-705-033-585-407,M06-M01-A04-A13-A11-R24-R12,LowEvidenceSequence,unresolved sequence with insufficient structural evidence,PRODUCTIVE_SLOT(<START>_233)[806-235] | PRODUCTIVE_SLOT(235_<END>)[233-705-033-585-407],<START>|233:806-235@1-2; 235|<END>:233-705-033-585-407@3-7,0.55,Medium,"compare all artifacts in frames 235|<END>, <START>|233; inspect minimal alternation(s) involving 806-235"
3777.1,M-1524,Mohenjo-daro,TAB:C,806-235-233-705-033-585-407,M06-M01-A04-A13-A11-R24-R12,LowEvidenceSequence,unresolved sequence with insufficient structural evidence,PRODUCTIVE_SLOT(<START>_233)[806-235] | PRODUCTIVE_SLOT(235_<END>)[233-705-033-585-407],<START>|233:806-235@1-2; 235|<END>:233-705-033-585-407@3-7,0.55,Medium,"compare all artifacts in frames 235|<END>, <START>|233; inspect minimal alternation(s) involving 806-235"
2245.1,M-1890,Mohenjo-daro,SEAL:S,235-240-705-033-520,M01-A02-A13-A11-T02,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-705-033-520],<START>|240:235@1-1; 235|<END>:240-705-033-520@2-5,0.55,Medium,"compare all artifacts in frames 235|<END>, <START>|240; test reused filler(s) 235 across frames; inspect minimal alternation(s) involving 235"
4008.1,M-1966,Mohenjo-daro,SEAL:R,235-233-555-527,M01-A04-R40-T04,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_233)[235] | PRODUCTIVE_SLOT(235_<END>)[233-555-527],<START>|233:235@1-1; 235|<END>:233-555-527@2-4,0.55,Medium,"compare all artifacts in frames 235|<END>, <START>|233; test reused filler(s) 235 across frames; inspect minimal alternation(s) involving 235"
2161.1,M-2061,Mohenjo-daro,POT:T:g,480-001-235-482-740-406-742,R72-A05-M01-R16-T01-R54-R76,TerminalFormula,"short terminal label, title, suffix, or object marker",PRODUCTIVE_SLOT(<START>_001)[480] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[235-482-740-406-742],<START>|001:480@1-1; 001|<END>:235-482-740-406-742@3-7,0.55,Medium,"compare all artifacts in frames 001|<END>, <START>|001; inspect minimal alternation(s) involving 480"
2214.1,M-682,Mohenjo-daro,SEAL:S,692-060-255-435-690-740-692-060-803-740,R18-A06-R07-R14-R08-T01-R18-A06-A12-T01,TerminalFormula,"short terminal label, title, suffix, or object marker",692:SIGN | 060:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(060_740)[255-435-690] | 740:TERMINAL_TITLE_OR_SUFFIX | 692:SIGN | 060:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(060_<END>)[803-740],060|740:255-435-690@3-5; 060|<END>:803-740@9-10,0.55,Medium,"compare all artifacts in frames 060|740, 060|<END>; test reused filler(s) 803-740 across frames; inspect minimal alternation(s) involving 803-740"
