"Rank","Sign","TotalTokens","TokenPct","CumulativeCoverage","CoreGroup","PositionRole","MechanismHypothesis","StartPct","MedialPct","EndPct","SingletonPct","PositionEntropy10","LeftNeighborEntropy","RightNeighborEntropy","DominantLeftNeighbor","DominantLeftShare","DominantRightNeighbor","DominantRightShare","RegionEntropy","SiteEntropy","TypeEntropy","AdjacentSelfRepeats","CandidateClasses"
"78","154","45","0.002494","0.801208","Extension90","TerminalMarker","FormulaOrGrammarMarker","0","0.2368","0.7632","0","0.3228","0.7766","0.6224","806","0.4091","400","0.7778","0.7245","0.6705","0.7891","0","TerminalCandidate"
"79","832","45","0.002494","0.803702","Extension90","FlexibleCarrier","ExtendedInventoryCandidate","0.2727","0.4545","0.2727","0","0.7841","0.8482","0.9474","904","0.2581","255","0.1724","0.7968","0.7537","0.7724","2","Unclassified"
"80","923","45","0.002494","0.806196","Extension90","MedialCarrier","ExtendedInventoryCandidate","0.0833","0.9167","0","0","0.7545","0.8166","0.2707","033","0.3684","740","0.9302","0.4121","0.4011","0.7319","0","MedialCandidate"
"81","335","43","0.002383","0.808579","Extension90","MedialCarrier","ExtendedInventoryCandidate","0.0357","0.9286","0.0357","0","0.6532","0.6932","0.7623","575","0.5526","711","0.45","0.5723","0.5571","0.5649","0","MedialCandidate"
"82","480","42","0.002328","0.810907","Extension90","FlexibleCarrier","ExtendedInventoryCandidate","0.1818","0.5","0.0455","0.2727","0.8414","0.9071","0.8045","850","0.2727","001","0.3871","0.79","0.7877","0.8204","0","Unclassified"
"83","226","41","0.002272","0.813179","Extension90","MixedPosition","UnclassifiedComputationalLead","0.1429","0.25","0.5357","0.0714","0.5269","0.7953","0.9311","032","0.4242","400","0.2857","0.659","0.6618","0.7032","0","Unclassified"
"84","482","41","0.002272","0.815451","Extension90","MedialCarrier","ExtendedInventoryCandidate","0.0606","0.9091","0.0303","0","0.8013","0.7822","0.5454","240","0.4286","740","0.7297","0.7635","0.6709","0.6876","0","MedialCandidate"
"85","630","40","0.002217","0.817668","Extension90","MixedPosition","UnclassifiedComputationalLead","0.5217","0.4783","0","0","0.6465","0.9311","0.7361","240","0.2857","740","0.4865","0.8921","0.8157","0.8324","0","Unclassified"
"86","158","39","0.002161","0.819829","Extension90","MixedPosition","UnclassifiedComputationalLead","0.0345","0.5517","0.4138","0","0.5482","0.7687","0.3954","806","0.4444","400","0.8636","0.565","0.5288","0.6441","0","Unclassified"
"87","460","39","0.002161","0.821991","Extension90","MedialCarrier","ExtendedInventoryCandidate","0.0714","0.9286","0","0","0.8408","0.8698","0.8413","503","0.2059","740","0.2703","0.6041","0.5675","0.5867","0","MedialCandidate"
"88","070","38","0.002106","0.824097","Extension90","MedialCarrier","ExtendedInventoryCandidate","0.1071","0.8929","0","0","0.8276","0.8676","0.837","255","0.2258","520","0.3514","0.7271","0.6448","0.6832","0","MedialCandidate"
"89","035","37","0.002051","0.826147","Extension90","MixedPosition","UnclassifiedComputationalLead","0.1","0.55","0.2","0.15","0.649","0.5892","0.8271","171","0.7083","740","0.3889","0.6997","0.7022","0.7556","0","Unclassified"
"90","745","36","0.001995","0.828142","Extension90","MixedPosition","ExtendedInventoryCandidate","0.3889","0.6111","0","0","0.7283","0.9701","0.947","060","0.2","700","0.1429","0.7199","0.65","0.9609","0","Unclassified"
"91","384","33","0.001829","0.829971","Extension90","MedialCarrier","ExtendedInventoryCandidate","0.16","0.72","0.04","0.08","0.7773","0.8909","0.5265","032","0.2174","740","0.7333","0.6109","0.6607","0.7893","0","Unclassified"
