SignI,SignJ,Count,Prob,PMI
303,353,1,7.011147724882563e-05,11.342324231586918
576,545,1,7.011147724882563e-05,11.342324231586918
132,082,1,7.011147724882563e-05,11.342324231586918
908,545,2,0.00014022295449765126,11.342324231586918
442,425,1,7.011147724882563e-05,11.342324231586918
244,277,1,7.011147724882563e-05,11.342324231586918
340,924,1,7.011147724882563e-05,11.342324231586918
145,139,1,7.011147724882563e-05,11.342324231586918
336,827,1,7.011147724882563e-05,11.204820707836983
190,751,1,7.011147724882563e-05,11.204820707836983
293,360,1,7.011147724882563e-05,11.079289825753124
797,688,1,7.011147724882563e-05,11.079289825753124
516,775,1,7.011147724882563e-05,11.079289825753124
794,734,1,7.011147724882563e-05,11.079289825753124
572,683,1,7.011147724882563e-05,11.079289825753124
794,732,2,0.00014022295449765126,11.079289825753124
381,292,1,7.011147724882563e-05,11.079289825753124
907,161,1,7.011147724882563e-05,11.079289825753124
890,417,8,0.000560891817990605,11.034895706394671
792,102,1,7.011147724882563e-05,10.963812608333189
792,085,1,7.011147724882563e-05,10.963812608333189
063,051,1,7.011147724882563e-05,10.963812608333189
453,064,1,7.011147724882563e-05,10.856897404416676
596,018,1,7.011147724882563e-05,10.856897404416676
072,170,1,7.011147724882563e-05,10.757361730865762
153,118,1,7.011147724882563e-05,10.757361730865762
065,599,1,7.011147724882563e-05,10.757361730865762
065,826,1,7.011147724882563e-05,10.757361730865762
111,166,1,7.011147724882563e-05,10.757361730865762
065,393,1,7.011147724882563e-05,10.757361730865762
532,297,1,7.011147724882563e-05,10.757361730865762
065,864,1,7.011147724882563e-05,10.757361730865762
065,123,1,7.011147724882563e-05,10.757361730865762
345,279,1,7.011147724882563e-05,10.757361730865762
338,605,1,7.011147724882563e-05,10.757361730865762
855,297,1,7.011147724882563e-05,10.757361730865762
111,606,1,7.011147724882563e-05,10.757361730865762
101,908,1,7.011147724882563e-05,10.664252326474282
372,374,1,7.011147724882563e-05,10.664252326474282
906,329,1,7.011147724882563e-05,10.664252326474282
081,272,1,7.011147724882563e-05,10.664252326474282
940,260,1,7.011147724882563e-05,10.664252326474282
374,228,1,7.011147724882563e-05,10.664252326474282
492,015,1,7.011147724882563e-05,10.664252326474282
143,096,1,7.011147724882563e-05,10.664252326474282
903,903,1,7.011147724882563e-05,10.664252326474282
411,956,1,7.011147724882563e-05,10.664252326474282
748,530,1,7.011147724882563e-05,10.57678948522394
128,702,1,7.011147724882563e-05,10.494327325031968
066,942,3,0.0002103344317464769,10.494327325031968
723,066,1,7.011147724882563e-05,10.494327325031968
392,631,1,7.011147724882563e-05,10.494327325031968
272,637,1,7.011147724882563e-05,10.342324231586918
600,143,1,7.011147724882563e-05,10.342324231586918
871,192,1,7.011147724882563e-05,10.342324231586918
880,689,1,7.011147724882563e-05,10.342324231586918
292,352,1,7.011147724882563e-05,10.342324231586918
382,878,1,7.011147724882563e-05,10.27193490369552
515,126,1,7.011147724882563e-05,10.204820707836983
877,225,1,7.011147724882563e-05,10.204820707836983
092,625,1,7.011147724882563e-05,10.204820707836983
500,209,1,7.011147724882563e-05,10.140690370417268
