"Sign","Side","Neighbor","Count"
"034","Prev","001","1"
"034","Prev","034","1"
"034","Prev","032","1"
"035","Next","END","7"
"035","Next","740","4"
"035","Next","130","4"
"035","Next","415","2"
"035","Next","368","1"
"035","Next","390","1"
"035","Next","405","1"
"035","Prev","171","14"
"035","Prev","START","5"
"035","Prev","002","1"
"036","Next","700","3"
"036","Next","END","1"
"036","Next","861","1"
"036","Next","760","1"
"036","Prev","START","3"
"036","Prev","460","1"
"036","Prev","220","1"
"036","Prev","269","1"
"037","Next","END","1"
"037","Prev","START","1"
"039","Next","END","1"
"039","Prev","START","1"
"041","Next","END","1"
"041","Next","742","1"
"041","Prev","START","1"
"041","Prev","705","1"
"042","Next","740","2"
"042","Prev","741","1"
"042","Prev","002","1"
"043","Next","END","1"
"043","Prev","START","1"
"045","Next","END","1"
"045","Prev","740","1"
"046","Next","END","1"
"046","Next","621","1"
"046","Next","031","1"
"046","Prev","START","2"
"046","Prev","031","1"
"047","Next","END","1"
"047","Prev","START","1"
"048","Next","740","17"
"048","Next","END","1"
"048","Prev","002","12"
"048","Prev","741","5"
"048","Prev","232","1"
"049","Next","740","2"
"049","Next","760","1"
"049","Next","233","1"
"049","Prev","START","2"
"049","Prev","002","2"
"050","Next","740","1"
"050","Prev","705","1"
"051","Next","063","1"
"051","Prev","START","1"
"055","Next","220","12"
"055","Next","740","9"
"055","Next","161","2"
"055","Next","482","2"
"055","Next","235","2"
"055","Next","255","2"
"055","Next","151","2"
"055","Next","002","2"
"055","Next","798","1"
"055","Next","745","1"
"055","Next","752","1"
"055","Next","821","1"
"055","Next","803","1"
"055","Next","END","1"
"055","Next","090","1"
"055","Next","032","1"
"055","Next","001","1"
"055","Next","121","1"
"055","Next","617","1"
"055","Next","555","1"
"055","Next","368","1"
"055","Prev","001","13"
"055","Prev","START","11"
"055","Prev","240","6"
"055","Prev","220","2"
"055","Prev","233","2"
"055","Prev","031","2"
"055","Prev","002","2"
"055","Prev","831","1"
"055","Prev","806","1"
"055","Prev","920","1"
"055","Prev","373","1"
"055","Prev","060","1"
"055","Prev","099","1"
"055","Prev","033","1"
"055","Prev","232","1"
"056","Next","002","8"
"056","Next","705","1"
"056","Next","415","1"
"056","Prev","091","8"
"056","Prev","START","1"
"056","Prev","031","1"
"057","Next","159","1"
"057","Prev","START","1"
"058","Next","740","1"
"058","Prev","START","1"
"059","Next","032","2"
"059","Prev","START","2"
"060","Next","741","31"
"060","Next","240","15"
"060","Next","235","9"
"060","Next","032","7"
"060","Next","742","7"
"060","Next","003","7"
"060","Next","031","6"
"060","Next","231","5"
"060","Next","690","5"
"060","Next","803","5"
"060","Next","001","4"
"060","Next","220","4"
"060","Next","233","4"
