Sign,DocFrequency,Degree,WeightedDegree,DegreeCentrality,Betweenness,PageRank,Community,FunctionalClass,IsBridge
710,5,1,5.419,0.003,0.0000,0.000420,C12,Unknown,False
154,44,8,36.118,0.025,0.0047,0.000412,C9,ROOT_OR_UNRESOLVED,False
744,4,6,29.107,0.019,0.0026,0.000403,C14,ROOT_OR_UNRESOLVED,False
101,8,2,4.839,0.006,0.0000,0.000400,C12,ROOT_OR_UNRESOLVED,False
681,4,1,4.898,0.003,0.0000,0.000399,C8,Unknown,False
720,3,1,3.848,0.003,0.0000,0.000396,C14,ROOT_OR_UNRESOLVED,False
565,14,1,3.741,0.003,0.0000,0.000394,C3,ROOT_OR_UNRESOLVED,False
642,8,3,9.659,0.009,0.0006,0.000390,C11,Unknown,False
773,9,1,1.358,0.003,0.0000,0.000390,C15,ROOT_OR_UNRESOLVED,False
159,6,1,6.156,0.003,0.0000,0.000388,C5,ROOT_OR_UNRESOLVED,False
770,2,1,4.191,0.003,0.0000,0.000385,C7,ROOT_OR_UNRESOLVED,False
137,12,1,2.464,0.003,0.0000,0.000384,C9,ROOT_OR_UNRESOLVED,False
136,11,3,8.963,0.009,0.0012,0.000384,C0,Unknown,False
772,9,3,5.325,0.009,0.0003,0.000380,C11,ROOT_OR_UNRESOLVED,False
423,6,2,10.131,0.006,0.0002,0.000380,C1,ROOT_OR_UNRESOLVED,False
871,5,2,9.192,0.006,0.0008,0.000374,C10,ROOT_OR_UNRESOLVED,False
019,6,1,3.948,0.003,0.0000,0.000372,C1,Unknown,False
444,2,1,6.300,0.003,0.0000,0.000365,C7,ROOT_OR_UNRESOLVED,False
531,5,1,4.661,0.003,0.0000,0.000364,C11,Unknown,False
422,8,5,20.235,0.016,0.0014,0.000363,C8,ROOT_OR_UNRESOLVED,False
426,5,1,3.904,0.003,0.0000,0.000356,C1,Unknown,False
443,4,1,5.885,0.003,0.0000,0.000340,C7,ROOT_OR_UNRESOLVED,False
122,2,1,4.226,0.003,0.0000,0.000340,C1,Unknown,False
525,11,5,17.123,0.016,0.0063,0.000334,C7,Unknown,False
643,4,1,3.288,0.003,0.0000,0.000329,C11,ROOT_OR_UNRESOLVED,False
007,4,1,5.378,0.003,0.0000,0.000329,C15,Unknown,False
229,4,1,5.275,0.003,0.0000,0.000326,C12,Unknown,False
919,2,4,16.565,0.013,0.0026,0.000321,C0,ROOT_OR_UNRESOLVED,False
783,2,1,5.674,0.003,0.0000,0.000319,C12,Unknown,False
178,2,1,3.241,0.003,0.0000,0.000319,C9,Unknown,False
205,2,1,3.179,0.003,0.0000,0.000319,C5,ROOT_OR_UNRESOLVED,False
854,2,1,3.241,0.003,0.0000,0.000316,C9,Unknown,False
896,2,2,9.915,0.006,0.0008,0.000315,C9,Unknown,False
804,7,2,7.120,0.006,0.0000,0.000311,C14,ROOT_OR_UNRESOLVED,False
678,2,1,3.241,0.003,0.0000,0.000307,C9,Unknown,False
410,2,1,5.776,0.003,0.0000,0.000299,C14,Unknown,False
842,5,4,18.920,0.013,0.0003,0.000299,C11,ROOT_OR_UNRESOLVED,False
868,12,3,11.707,0.009,0.0005,0.000299,C6,Unknown,False
526,13,3,16.205,0.009,0.0003,0.000299,C7,Unknown,False
712,4,3,15.089,0.009,0.0010,0.000299,C3,Unknown,False
930,7,1,6.053,0.003,0.0000,0.000299,C10,Unknown,False
749,2,1,11.133,0.003,0.0000,0.000299,C13,Unknown,False
