"Sign","TotalTokens","TextCount","SiteCount","RegionCount","TypeCount","DamagedContextTokens","RarityBand","PositionTotal","Start","End","Medial","Singleton","StartPct","EndPct","MedialPct","SingletonPct","MeanNormPosition","CandidateClasses"
"630","40","39","4","3","8","19","Active20To99","23","12","0","11","0","0.5217","0","0.4783","0","0.2709","Unclassified"
"158","39","39","4","3","7","11","Active20To99","29","1","12","16","0","0.0345","0.4138","0.5517","0","0.7586","Unclassified"
"460","39","39","7","4","7","21","Active20To99","28","2","0","26","0","0.0714","0","0.9286","0","0.4653","MedialCandidate"
"070","38","38","6","4","6","15","Active20To99","28","3","0","25","0","0.1071","0","0.8929","0","0.5974","MedialCandidate"
"035","37","37","6","4","11","25","Active20To99","20","2","4","11","3","0.1","0.2","0.55","0.15","0.5057","Unclassified"
"745","36","36","4","3","4","23","Active20To99","18","7","0","11","0","0.3889","0","0.6111","0","0.2122","Unclassified"
"384","33","33","8","5","8","13","Active20To99","25","4","1","18","2","0.16","0.04","0.72","0.08","0.5258","Unclassified"
"632","32","31","9","4","7","17","Active20To99","16","6","0","10","0","0.375","0","0.625","0","0.2094","Unclassified"
"824","32","32","5","4","4","8","Active20To99","23","7","16","0","0","0.3043","0.6957","0","0","0.6957","Unclassified"
"165","31","31","4","3","8","12","Active20To99","21","6","7","8","0","0.2857","0.3333","0.381","0","0.5552","Unclassified"
"501","31","31","2","2","2","1","Active20To99","31","29","0","2","0","0.9355","0","0.0645","0","0.039","InitialCandidate"
"095","30","30","8","4","10","15","Active20To99","21","4","1","16","0","0.1905","0.0476","0.7619","0","0.448","Unclassified"
"495","30","30","9","3","6","14","Active20To99","19","10","0","9","0","0.5263","0","0.4737","0","0.2774","Unclassified"
"171","29","28","4","4","7","14","Active20To99","21","13","0","8","0","0.619","0","0.381","0","0.1478","Unclassified"
"091","28","28","9","6","7","13","Active20To99","19","17","0","1","1","0.8947","0","0.0526","0.0526","0.0474","Unclassified"
"463","28","27","7","4","5","14","Active20To99","16","0","1","14","1","0","0.0625","0.875","0.0625","0.4882","Unclassified"
"645","28","26","5","3","7","11","Active20To99","17","1","1","15","0","0.0588","0.0588","0.8824","0","0.377","Unclassified"
"175","27","27","5","3","6","13","Active20To99","18","9","0","9","0","0.5","0","0.5","0","0.2667","Unclassified"
"104","26","26","7","4","6","9","Active20To99","20","13","2","5","0","0.65","0.1","0.25","0","0.2283","Unclassified"
"236","26","26","8","4","6","9","Active20To99","23","3","8","11","1","0.1304","0.3478","0.4783","0.0435","0.6089","Unclassified"
"500","24","24","6","3","7","17","Active20To99","20","1","0","19","0","0.05","0","0.95","0","0.2244","MedialCandidate"
"555","24","24","4","4","4","10","Active20To99","18","1","1","16","0","0.0556","0.0556","0.8889","0","0.6661","Unclassified"
"540","22","19","5","3","9","6","Active20To99","14","2","0","5","7","0.1429","0","0.3571","0.5","0.4429","Unclassified"
"621","22","22","3","3","2","9","Active20To99","18","3","13","2","0","0.1667","0.7222","0.1111","0","0.787","Unclassified"
"636","22","22","3","2","3","9","Active20To99","16","0","0","16","0","0","0","1","0","0.5547","Unclassified"
"877","22","22","6","5","5","9","Active20To99","14","6","0","8","0","0.4286","0","0.5714","0","0.3243","Unclassified"
"382","21","18","5","4","6","12","Active20To99","11","4","1","6","0","0.3636","0.0909","0.5455","0","0.4123","Unclassified"
"711","21","21","1","1","2","10","Active20To99","13","0","0","13","0","0","0","1","0","0.6231","Unclassified"
"097","20","20","2","2","4","4","Active20To99","16","6","0","10","0","0.375","0","0.625","0","0.4201","Unclassified"
"320","20","20","4","3","7","11","Active20To99","13","3","0","10","0","0.2308","0","0.7692","0","0.3506","Unclassified"
"167","19","19","3","2","2","3","Low6To19","12","0","12","0","0","0","1","0","0","1","Unclassified"
"530","19","19","5","3","7","10","Low6To19","11","3","0","7","1","0.2727","0","0.6364","0.0909","0.2088","Unclassified"
"679","19","19","3","2","3","8","Low6To19","16","4","11","0","1","0.25","0.6875","0","0.0625","0.7188","Unclassified"
"838","19","19","6","3","5","8","Low6To19","13","5","0","8","0","0.3846","0","0.6154","0","0.2763","Unclassified"
"048","18","18","3","3","5","12","Low6To19","18","0","1","17","0","0","0.0556","0.9444","0","0.6806","Unclassified"
"066","18","18","7","5","8","11","Low6To19","7","3","1","3","0","0.4286","0.1429","0.4286","0","0.3452","Unclassified"
"365","18","18","7","4","7","10","Low6To19","10","0","2","8","0","0","0.2","0.8","0","0.4875","Unclassified"
"491","18","18","4","3","6","5","Low6To19","15","13","0","2","0","0.8667","0","0.1333","0","0.0767","Unclassified"
"515","18","18","6","3","6","12","Low6To19","8","0","1","3","4","0","0.125","0.375","0.5","0.525","Unclassified"
"831","18","18","4","4","8","4","Low6To19","16","9","1","6","0","0.5625","0.0625","0.375","0","0.1964","Unclassified"
"222","17","17","5","3","4","6","Low6To19","16","2","0","14","0","0.125","0","0.875","0","0.5742","Unclassified"
"436","17","17","3","2","3","4","Low6To19","15","0","1","14","0","0","0.0667","0.9333","0","0.5622","Unclassified"
"519","17","17","4","3","4","10","Low6To19","9","5","0","4","0","0.5556","0","0.4444","0","0.2685","Unclassified"
"999","17","17","4","2","4","16","EncodedSpace","0","0","0","0","0","0","0","0","0","0","EncodedSpace"
"130","16","16","5","4","4","9","Low6To19","10","1","3","6","0","0.1","0.3","0.6","0","0.5667","Unclassified"
