"Sign","Total","Start","End","Medial","Singleton","StartPct","EndPct","MedialPct","SingletonPct","MeanNormPosition","EndMinusStart"
"234","6","2","3","1","0","0.3333","0.5","0.1667","0","0.5667","0.1667"
"252","6","0","0","6","0","0","0","1","0","0.7958","0"
"263","6","0","5","1","0","0","0.8333","0.1667","0","0.9","0.8333"
"354","6","1","2","3","0","0.1667","0.3333","0.5","0","0.5389","0.1667"
"370","6","1","5","0","0","0.1667","0.8333","0","0","0.8333","0.6667"
"423","6","5","0","1","0","0.8333","0","0.1667","0","0.0833","-0.8333"
"465","6","0","5","1","0","0","0.8333","0.1667","0","0.8542","0.8333"
"518","6","0","3","3","0","0","0.5","0.5","0","0.6627","0.5"
"521","6","1","1","4","0","0.1667","0.1667","0.6667","0","0.4125","0"
"556","6","1","5","0","0","0.1667","0.8333","0","0","0.8333","0.6667"
"603","6","0","3","3","0","0","0.5","0.5","0","0.625","0.5"
"642","6","0","0","6","0","0","0","1","0","0.3111","0"
"702","6","0","2","4","0","0","0.3333","0.6667","0","0.6611","0.3333"
"851","6","3","3","0","0","0.5","0.5","0","0","0.5","0"
"027","5","0","5","0","0","0","1","0","0","1","1"
"150","5","0","0","5","0","0","0","1","0","0.4486","0"
"155","5","3","0","2","0","0.6","0","0.4","0","0.2333","-0.6"
"159","5","3","0","2","0","0.6","0","0.4","0","0.2","-0.6"
"201","5","0","5","0","0","0","1","0","0","1","1"
"257","5","1","0","4","0","0.2","0","0.8","0","0.6048","-0.2"
"267","5","1","0","4","0","0.2","0","0.8","0","0.4","-0.2"
"352","5","0","3","2","0","0","0.6","0.4","0","0.7067","0.6"
"401","5","4","0","1","0","0.8","0","0.2","0","0.15","-0.8"
"426","5","4","1","0","0","0.8","0.2","0","0","0.2","-0.6"
"456","5","0","3","2","0","0","0.6","0.4","0","0.7333","0.6"
"472","5","0","2","3","0","0","0.4","0.6","0","0.619","0.4"
"511","5","2","1","2","0","0.4","0.2","0.4","0","0.38","-0.2"
"531","5","0","2","3","0","0","0.4","0.6","0","0.6667","0.4"
"564","5","0","2","3","0","0","0.4","0.6","0","0.7167","0.4"
"572","5","0","1","4","0","0","0.2","0.8","0","0.8581","0.2"
"578","5","0","0","5","0","0","0","1","0","0.6667","0"
"626","5","0","1","4","0","0","0.2","0.8","0","0.64","0.2"
"704","5","0","2","3","0","0","0.4","0.6","0","0.7333","0.4"
"791","5","1","2","2","0","0.2","0.4","0.4","0","0.6833","0.2"
"808","5","1","4","0","0","0.2","0.8","0","0","0.8","0.6"
"019","4","0","3","1","0","0","0.75","0.25","0","0.875","0.75"
"028","4","0","4","0","0","0","1","0","0","1","1"
"049","4","0","2","2","0","0","0.5","0.5","0","0.75","0.5"
"067","4","0","1","3","0","0","0.25","0.75","0","0.5417","0.25"
"103","4","1","1","2","0","0.25","0.25","0.5","0","0.5","0"
"132","4","0","2","2","0","0","0.5","0.5","0","0.7917","0.5"
"153","4","3","0","1","0","0.75","0","0.25","0","0.125","-0.75"
"202","4","0","0","4","0","0","0","1","0","0.3958","0"
"204","4","1","0","3","0","0.25","0","0.75","0","0.5167","-0.25"
"244","4","2","1","1","0","0.5","0.25","0.25","0","0.4722","-0.25"
"272","4","0","3","1","0","0","0.75","0.25","0","0.875","0.75"
"322","4","0","3","1","0","0","0.75","0.25","0","0.85","0.75"
"326","4","0","3","1","0","0","0.75","0.25","0","0.7812","0.75"
"353","4","0","3","1","0","0","0.75","0.25","0","0.85","0.75"
"380","4","0","3","1","0","0","0.75","0.25","0","0.8125","0.75"
"392","4","2","1","1","0","0.5","0.25","0.25","0","0.4444","-0.25"
"409","4","4","0","0","0","1","0","0","0","0","-1"
"420","4","0","0","4","0","0","0","1","0","0.4381","0"
"421","4","0","1","3","0","0","0.25","0.75","0","0.85","0.25"
"443","4","0","0","4","0","0","0","1","0","0.4357","0"
"502","4","0","2","2","0","0","0.5","0.5","0","0.9286","0.5"
"515","4","1","0","3","0","0.25","0","0.75","0","0.45","-0.25"
"611","4","0","0","4","0","0","0","1","0","0.6622","0"
"625","4","0","2","2","0","0","0.5","0.5","0","0.7292","0.5"
"637","4","0","2","2","0","0","0.5","0.5","0","0.7292","0.5"
"698","4","0","4","0","0","0","1","0","0","1","1"
"712","4","4","0","0","0","1","0","0","0","0","-1"
"736","4","0","4","0","0","0","1","0","0","1","1"
"746","4","0","2","2","0","0","0.5","0.5","0","0.8167","0.5"
"799","4","0","4","0","0","0","1","0","0","1","1"
"825","4","0","1","3","0","0","0.25","0.75","0","0.7366","0.25"
"842","4","4","0","0","0","1","0","0","0","0","-1"
"869","4","3","0","1","0","0.75","0","0.25","0","0.0833","-0.75"
"871","4","2","1","1","0","0.5","0.25","0.25","0","0.2708","-0.25"
"903","4","0","2","2","0","0","0.5","0.5","0","0.7643","0.5"
"910","4","0","4","0","0","0","1","0","0","1","1"
"007","3","0","0","3","0","0","0","1","0","0.3333","0"
"025","3","0","3","0","0","0","1","0","0","1","1"
"046","3","1","2","0","0","0.3333","0.6667","0","0","0.6667","0.3333"
"071","3","0","1","2","0","0","0.3333","0.6667","0","0.6667","0.3333"
"081","3","0","0","3","0","0","0","1","0","0.6278","0"
"139","3","1","2","0","0","0.3333","0.6667","0","0","0.6667","0.3333"
"146","3","0","3","0","0","0","1","0","0","1","1"
"160","3","1","1","1","0","0.3333","0.3333","0.3333","0","0.5","0"
"168","3","0","0","3","0","0","0","1","0","0.7583","0"
"177","3","0","1","2","0","0","0.3333","0.6667","0","0.7222","0.3333"
"193","3","0","2","1","0","0","0.6667","0.3333","0","0.7619","0.6667"
"216","3","0","3","0","0","0","1","0","0","1","1"
"229","3","0","3","0","0","0","1","0","0","1","1"
"268","3","0","0","3","0","0","0","1","0","0.4111","0"
"278","3","0","1","2","0","0","0.3333","0.6667","0","0.8056","0.3333"
"279","3","0","2","1","0","0","0.6667","0.3333","0","0.7333","0.6667"
"285","3","0","2","1","0","0","0.6667","0.3333","0","0.9444","0.6667"
"292","3","1","0","2","0","0.3333","0","0.6667","0","0.1778","-0.3333"
"324","3","1","1","1","0","0.3333","0.3333","0.3333","0","0.4444","0"
"345","3","0","2","1","0","0","0.6667","0.3333","0","0.8333","0.6667"
"346","3","0","2","1","0","0","0.6667","0.3333","0","0.963","0.6667"
"362","3","0","1","2","0","0","0.3333","0.6667","0","0.6095","0.3333"
"411","3","2","0","1","0","0.6667","0","0.3333","0","0.0556","-0.6667"
"470","3","0","2","1","0","0","0.6667","0.3333","0","0.8333","0.6667"
"543","3","0","0","3","0","0","0","1","0","0.3862","0"
"552","3","0","0","3","0","0","0","1","0","0.5611","0"
"561","3","1","1","1","0","0.3333","0.3333","0.3333","0","0.6","0"
"634","3","0","3","0","0","0","1","0","0","1","1"
"643","3","0","0","3","0","0","0","1","0","0.3241","0"
"681","3","0","3","0","0","0","1","0","0","1","1"
"687","3","0","3","0","0","0","1","0","0","1","1"
"710","3","1","1","1","0","0.3333","0.3333","0.3333","0","0.5","0"
"720","3","0","2","1","0","0","0.6667","0.3333","0","0.8333","0.6667"
"744","3","0","2","1","0","0","0.6667","0.3333","0","0.8889","0.6667"
"797","3","0","2","1","0","0","0.6667","0.3333","0","0.8333","0.6667"
"805","3","0","1","2","0","0","0.3333","0.6667","0","0.7121","0.3333"
"829","3","0","3","0","0","0","1","0","0","1","1"
"879","3","0","0","3","0","0","0","1","0","0.3472","0"
"893","3","0","1","2","0","0","0.3333","0.6667","0","0.7556","0.3333"
"912","3","0","2","1","0","0","0.6667","0.3333","0","0.75","0.6667"
"922","3","0","3","0","0","0","1","0","0","1","1"
"930","3","3","0","0","0","1","0","0","0","0","-1"
"006","2","0","1","1","0","0","0.5","0.5","0","0.625","0.5"
"012","2","0","1","1","0","0","0.5","0.5","0","0.8182","0.5"
"029","2","0","1","1","0","0","0.5","0.5","0","0.75","0.5"
"041","2","1","1","0","0","0.5","0.5","0","0","0.5","0"
"042","2","0","0","2","0","0","0","1","0","0.2917","0"
"059","2","0","2","0","0","0","1","0","0","1","1"
"062","2","0","0","2","0","0","0","1","0","0.375","0"
"082","2","0","1","1","0","0","0.5","0.5","0","0.875","0.5"
"092","2","0","0","2","0","0","0","1","0","0.5833","0"
"096","2","0","2","0","0","0","1","0","0","1","1"
"099","2","0","0","2","0","0","0","1","0","0.1667","0"
"112","2","0","2","0","0","0","1","0","0","1","1"
"118","2","0","2","0","0","0","1","0","0","1","1"
"121","2","0","1","1","0","0","0.5","0.5","0","0.6667","0.5"
"126","2","0","2","0","0","0","1","0","0","1","1"
"127","2","1","1","0","0","0.5","0.5","0","0","0.5","0"
"143","2","1","0","1","0","0.5","0","0.5","0","0.25","-0.5"
"157","2","2","0","0","0","1","0","0","0","0","-1"
"178","2","0","2","0","0","0","1","0","0","1","1"
"191","2","0","1","1","0","0","0.5","0.5","0","0.8","0.5"
"192","2","0","0","2","0","0","0","1","0","0.4583","0"
"195","2","0","2","0","0","0","1","0","0","1","1"
"200","2","1","0","1","0","0.5","0","0.5","0","0.0833","-0.5"
"205","2","0","0","2","0","0","0","1","0","0.1833","0"
"262","2","0","2","0","0","0","1","0","0","1","1"
"286","2","1","0","1","0","0.5","0","0.5","0","0.1818","-0.5"
"287","2","0","0","2","0","0","0","1","0","0.8542","0"
"299","2","0","0","2","0","0","0","1","0","0.65","0"
"300","2","0","0","2","0","0","0","1","0","0.75","0"
"301","2","0","0","2","0","0","0","1","0","0.8036","0"
"302","2","0","0","2","0","0","0","1","0","0.4","0"
"304","2","0","0","2","0","0","0","1","0","0.35","0"
"308","2","0","0","2","0","0","0","1","0","0.4583","0"
"319","2","0","1","1","0","0","0.5","0.5","0","0.8571","0.5"
"330","2","0","0","2","0","0","0","1","0","0.8","0"
"351","2","0","1","1","0","0","0.5","0.5","0","0.75","0.5"
"361","2","0","2","0","0","0","1","0","0","1","1"
"367","2","1","0","1","0","0.5","0","0.5","0","0.3","-0.5"
"373","2","0","1","1","0","0","0.5","0.5","0","0.6","0.5"
"381","2","0","1","1","0","0","0.5","0.5","0","0.5833","0.5"
"410","2","2","0","0","0","1","0","0","0","0","-1"
"424","2","1","1","0","0","0.5","0.5","0","0","0.5","0"
"450","2","1","0","1","0","0.5","0","0.5","0","0.4","-0.5"
"457","2","1","1","0","0","0.5","0.5","0","0","0.5","0"
"475","2","0","1","1","0","0","0.5","0.5","0","0.875","0.5"
"479","2","0","2","0","0","0","1","0","0","1","1"
"483","2","0","0","2","0","0","0","1","0","0.25","0"
"494","2","1","1","0","0","0.5","0.5","0","0","0.5","0"
"513","2","0","1","1","0","0","0.5","0.5","0","0.5833","0.5"
"516","2","0","2","0","0","0","1","0","0","1","1"
"528","2","0","2","0","0","0","1","0","0","1","1"
"533","2","0","0","2","0","0","0","1","0","0.8712","0"
"534","2","1","0","1","0","0.5","0","0.5","0","0.3333","-0.5"
"544","2","0","1","1","0","0","0.5","0.5","0","0.6","0.5"
"560","2","0","1","1","0","0","0.5","0.5","0","0.5833","0.5"
"579","2","0","2","0","0","0","1","0","0","1","1"
"600","2","1","0","1","0","0.5","0","0.5","0","0.0714","-0.5"
"610","2","0","0","2","0","0","0","1","0","0.5417","0"
"678","2","0","2","0","0","0","1","0","0","1","1"
"680","2","1","0","1","0","0.5","0","0.5","0","0.125","-0.5"
"683","2","0","2","0","0","0","1","0","0","1","1"
"688","2","1","1","0","0","0.5","0.5","0","0","0.5","0"
"697","2","0","0","2","0","0","0","1","0","0.1667","0"
"721","2","0","0","2","0","0","0","1","0","0.25","0"
"732","2","0","1","1","0","0","0.5","0.5","0","0.8","0.5"
"747","2","1","1","0","0","0.5","0.5","0","0","0.5","0"
"749","2","2","0","0","0","1","0","0","0","0","-1"
"767","2","0","1","1","0","0","0.5","0.5","0","0.75","0.5"
"770","2","0","0","2","0","0","0","1","0","0.5","0"
"775","2","0","0","2","0","0","0","1","0","0.5","0"
"783","2","0","0","2","0","0","0","1","0","0.5","0"
"785","2","0","0","2","0","0","0","1","0","0.6389","0"
