"Sign","Total","Start","End","Medial","Singleton","StartPct","EndPct","MedialPct","SingletonPct","MeanNormPosition","EndMinusStart"
"829","3","3","0","0","0","1","0","0","0","0","-1"
"879","3","0","0","3","0","0","0","1","0","0.6528","0"
"893","3","1","0","2","0","0.3333","0","0.6667","0","0.2444","-0.3333"
"912","3","2","0","1","0","0.6667","0","0.3333","0","0.25","-0.6667"
"922","3","3","0","0","0","1","0","0","0","0","-1"
"930","3","0","3","0","0","0","1","0","0","1","1"
"006","2","1","0","1","0","0.5","0","0.5","0","0.375","-0.5"
"012","2","1","0","1","0","0.5","0","0.5","0","0.1818","-0.5"
"029","2","1","0","1","0","0.5","0","0.5","0","0.25","-0.5"
"041","2","1","1","0","0","0.5","0.5","0","0","0.5","0"
"042","2","0","0","2","0","0","0","1","0","0.7083","0"
"059","2","2","0","0","0","1","0","0","0","0","-1"
"062","2","0","0","2","0","0","0","1","0","0.625","0"
"082","2","1","0","1","0","0.5","0","0.5","0","0.125","-0.5"
"092","2","0","0","2","0","0","0","1","0","0.4167","0"
"096","2","2","0","0","0","1","0","0","0","0","-1"
"099","2","0","0","2","0","0","0","1","0","0.8333","0"
"112","2","2","0","0","0","1","0","0","0","0","-1"
"118","2","2","0","0","0","1","0","0","0","0","-1"
"121","2","1","0","1","0","0.5","0","0.5","0","0.3333","-0.5"
"126","2","2","0","0","0","1","0","0","0","0","-1"
"127","2","1","1","0","0","0.5","0.5","0","0","0.5","0"
"143","2","0","1","1","0","0","0.5","0.5","0","0.75","0.5"
"157","2","0","2","0","0","0","1","0","0","1","1"
"178","2","2","0","0","0","1","0","0","0","0","-1"
"191","2","1","0","1","0","0.5","0","0.5","0","0.2","-0.5"
"192","2","0","0","2","0","0","0","1","0","0.5417","0"
"195","2","2","0","0","0","1","0","0","0","0","-1"
"200","2","0","1","1","0","0","0.5","0.5","0","0.9167","0.5"
"205","2","0","0","2","0","0","0","1","0","0.8167","0"
"262","2","2","0","0","0","1","0","0","0","0","-1"
"286","2","0","1","1","0","0","0.5","0.5","0","0.8182","0.5"
"287","2","0","0","2","0","0","0","1","0","0.1458","0"
"299","2","0","0","2","0","0","0","1","0","0.35","0"
"300","2","0","0","2","0","0","0","1","0","0.25","0"
"301","2","0","0","2","0","0","0","1","0","0.1964","0"
"302","2","0","0","2","0","0","0","1","0","0.6","0"
"304","2","0","0","2","0","0","0","1","0","0.65","0"
"308","2","0","0","2","0","0","0","1","0","0.5417","0"
"319","2","1","0","1","0","0.5","0","0.5","0","0.1429","-0.5"
"330","2","0","0","2","0","0","0","1","0","0.2","0"
"351","2","1","0","1","0","0.5","0","0.5","0","0.25","-0.5"
"361","2","2","0","0","0","1","0","0","0","0","-1"
"367","2","0","1","1","0","0","0.5","0.5","0","0.7","0.5"
"373","2","1","0","1","0","0.5","0","0.5","0","0.4","-0.5"
"381","2","1","0","1","0","0.5","0","0.5","0","0.4167","-0.5"
"410","2","0","2","0","0","0","1","0","0","1","1"
"424","2","1","1","0","0","0.5","0.5","0","0","0.5","0"
"450","2","0","1","1","0","0","0.5","0.5","0","0.6","0.5"
"457","2","1","1","0","0","0.5","0.5","0","0","0.5","0"
"475","2","1","0","1","0","0.5","0","0.5","0","0.125","-0.5"
"479","2","2","0","0","0","1","0","0","0","0","-1"
"483","2","0","0","2","0","0","0","1","0","0.75","0"
"494","2","1","1","0","0","0.5","0.5","0","0","0.5","0"
"513","2","1","0","1","0","0.5","0","0.5","0","0.4167","-0.5"
"516","2","2","0","0","0","1","0","0","0","0","-1"
"528","2","2","0","0","0","1","0","0","0","0","-1"
"533","2","0","0","2","0","0","0","1","0","0.1288","0"
"534","2","0","1","1","0","0","0.5","0.5","0","0.6667","0.5"
"544","2","1","0","1","0","0.5","0","0.5","0","0.4","-0.5"
"560","2","1","0","1","0","0.5","0","0.5","0","0.4167","-0.5"
"579","2","2","0","0","0","1","0","0","0","0","-1"
"600","2","0","1","1","0","0","0.5","0.5","0","0.9286","0.5"
"610","2","0","0","2","0","0","0","1","0","0.4583","0"
"678","2","2","0","0","0","1","0","0","0","0","-1"
"680","2","0","1","1","0","0","0.5","0.5","0","0.875","0.5"
"683","2","2","0","0","0","1","0","0","0","0","-1"
"688","2","1","1","0","0","0.5","0.5","0","0","0.5","0"
"697","2","0","0","2","0","0","0","1","0","0.8333","0"
"721","2","0","0","2","0","0","0","1","0","0.75","0"
"732","2","1","0","1","0","0.5","0","0.5","0","0.2","-0.5"
"747","2","1","1","0","0","0.5","0.5","0","0","0.5","0"
